Query	Taxid	Tax name	Authority	Rank	Basionym	Basionym authority	Curator common name	Has type material	Group name	Superkingdom name	Superkingdom taxid	Kingdom name	Kingdom taxid	Phylum name	Phylum taxid	Class name	Class taxid	Order name	Order taxid	Family name	Family taxid	Genus name	Genus taxid	Species name	Species taxid	Scientific name is formal
13607	13607	Mantoniella	T.V.Desikachary, 1972	GENUS				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Mamiellophyceae	1035538	Mamiellales	13792	Mamiellaceae	41873	Mantoniella	13607			TRUE
13608	13608	Mantoniella squamata	(I.Manton & M.Parke) T.V.Desikachary, 1972	SPECIES	Micromonas squamata	Manton & Parke, 1972		yes	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Mamiellophyceae	1035538	Mamiellales	13792	Mamiellaceae	41873	Mantoniella	13607	Mantoniella squamata	13608	TRUE
13786	13786	Trebouxia	Puymaly, 1924	GENUS				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Trebouxiophyceae	75966	Trebouxiales	2507901	Trebouxiaceae	2507902	Trebouxia	13786			TRUE
13787	13787	Trebouxia asymmetrica	Friedl & Gaertner	SPECIES				yes	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Trebouxiophyceae	75966	Trebouxiales	2507901	Trebouxiaceae	2507902	Trebouxia	13786	Trebouxia asymmetrica	13787	TRUE
13788	13788	Trebouxia impressa	Ahmadjian, 1960	SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Trebouxiophyceae	75966	Trebouxiales	2507901	Trebouxiaceae	2507902	Trebouxia	13786	Trebouxia impressa	13788	TRUE
13789	13789	Asterochloris magna	(Archibald) Skaloud & Peksa	SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Trebouxiophyceae	75966	Trebouxiales	2507901	Trebouxiaceae	2507902	Asterochloris	291965	Asterochloris magna	13789	TRUE
13790	13790	Dunaliella bioculata	Butcher	SPECIES				yes	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Chlamydomonadales	3042	Dunaliellaceae	3043	Dunaliella	3044	Dunaliella bioculata	13790	TRUE
13792	13792	Mamiellales	Moestrup, 1984	ORDER				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Mamiellophyceae	1035538	Mamiellales	13792							TRUE
28455	28455	Chlamydomonas frankii	Pascher, 1927	SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Chlamydomonadales	3042	Chlamydomonadaceae	3051	Chlamydomonas	3052	Chlamydomonas frankii	28455	TRUE
28456	28456	Chlamydomonas noctigama	Korschikov, 1927	SPECIES				yes	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Chlamydomonadales	3042	Chlamydomonadaceae	3051	Chlamydomonas	3052	Chlamydomonas noctigama	28456	TRUE
28457	28457	Chlamydomonas indica	A.K.Mitra, 1950	SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Chlamydomonadales	3042	Chlamydomonadaceae	3051	Chlamydomonas	3052	Chlamydomonas indica	28457	TRUE
28458	28458	Chlamydomonas sphaeroides	Gerloff, 1940	SPECIES				yes	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Chlamydomonadales	3042	Chlamydomonadaceae	3051	Chlamydomonas	3052	Chlamydomonas sphaeroides	28458	TRUE
28459	28459	Chlamydomonas komma	Skuja, 1934	SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Chlamydomonadales	3042	Chlamydomonadaceae	3051	Chlamydomonas	3052	Chlamydomonas komma	28459	TRUE
28460	28460	Chlamydomonas mexicana	R.A.Lewin, 1957	SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Chlamydomonadales	3042	Chlamydomonadaceae	3051	Chlamydomonas	3052	Chlamydomonas mexicana	28460	TRUE
28462	28462	Chlamydomonas peterfii	Gerloff, 1940	SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Chlamydomonadales	3042	Chlamydomonadaceae	3051	Chlamydomonas	3052	Chlamydomonas peterfii	28462	TRUE
28463	28463	Chlamydomonas starrii	Ettl, 1976	SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Chlamydomonadales	3042	Chlamydomonadaceae	3051	Chlamydomonas	3052	Chlamydomonas starrii	28463	TRUE
28464	28464	Chlamydomonas zebra	Korschikov, 1927	SPECIES				yes	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Chlamydomonadales	3042	Chlamydomonadaceae	3051	Chlamydomonas	3052	Chlamydomonas zebra	28464	TRUE
29214	29214	Acrosiphonia	J.Agardh, 1846	GENUS				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Ulvophyceae	33103	Ulotrichales	31306	Ulotrichaceae	205394	Acrosiphonia	29214			TRUE
29646	29646	Stichococcus	Naegeli, 1849	GENUS				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Trebouxiophyceae	75966	Prasiolales	135250	Stichococcaceae	2910630	Stichococcus	29646			TRUE
29647	29647	Stichococcus sp.		SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Trebouxiophyceae	75966	Prasiolales	135250	Stichococcaceae	2910630	Stichococcus	29646	Stichococcus sp.	29647	FALSE
3041	3041	Chlorophyta	Pascher, 1914	PHYLUM			green algae	no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041											TRUE
3042	3042	Chlamydomonadales	F.E.Fritsch, 1927	ORDER				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Chlamydomonadales	3042							TRUE
3043	3043	Dunaliellaceae	T.Christensen, 1967	FAMILY				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Chlamydomonadales	3042	Dunaliellaceae	3043					TRUE
3044	3044	Dunaliella		GENUS				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Chlamydomonadales	3042	Dunaliellaceae	3043	Dunaliella	3044			TRUE
3046	3046	Dunaliella salina	Ben-Amotz & Avron	SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Chlamydomonadales	3042	Dunaliellaceae	3043	Dunaliella	3044	Dunaliella salina	3046	TRUE
3047	3047	Dunaliella tertiolecta	Butcher	SPECIES				yes	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Chlamydomonadales	3042	Dunaliellaceae	3043	Dunaliella	3044	Dunaliella tertiolecta	3047	TRUE
3048	3048	Dunaliella parva	W.Lerche, 1937	SPECIES				yes	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Chlamydomonadales	3042	Dunaliellaceae	3043	Dunaliella	3044	Dunaliella parva	3048	TRUE
3049	3049	Polytomella	Aragao, 1910	GENUS				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Chlamydomonadales	3042	Chlamydomonadaceae	3051	Polytomella	3049			TRUE
3050	3050	Polytomella agilis	Aragao, 1910	SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Chlamydomonadales	3042	Chlamydomonadaceae	3051	Polytomella	3049	Polytomella agilis	3050	TRUE
3051	3051	Chlamydomonadaceae	F.Stein, 1878	FAMILY				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Chlamydomonadales	3042	Chlamydomonadaceae	3051					TRUE
3052	3052	Chlamydomonas	Ehrenberg, 1834	GENUS				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Chlamydomonadales	3042	Chlamydomonadaceae	3051	Chlamydomonas	3052			TRUE
3054	3054	Chlamydomonas moewusii	Gerloff	SPECIES				yes	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Chlamydomonadales	3042	Chlamydomonadaceae	3051	Chlamydomonas	3052	Chlamydomonas moewusii	3054	TRUE
3055	3055	Chlamydomonas reinhardtii	P.A.Dangeard, 1888	SPECIES				yes	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Chlamydomonadales	3042	Chlamydomonadaceae	3051	Chlamydomonas	3052	Chlamydomonas reinhardtii	3055	TRUE
3056	3056	Chlamydomonas sp. TK-1983		SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Chlamydomonadales	3042	Chlamydomonadaceae	3051	Chlamydomonas	3052	Chlamydomonas sp. TK-1983	3056	FALSE
3057	3057	Chlamydomonas sp. WXM		SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Chlamydomonadales	3042	Chlamydomonadaceae	3051	Chlamydomonas	3052	Chlamydomonas sp. WXM	3057	FALSE
3059	3059	Chlamydomonas gelatinosa	Korshikov, 1927	SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Chlamydomonadales	3042	Chlamydomonadaceae	3051	Chlamydomonas	3052	Chlamydomonas gelatinosa	3059	TRUE
3061	3061	Chlamydomonas pitschmannii	Ettl, 1976	SPECIES				yes	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Chlamydomonadales	3042	Chlamydomonadaceae	3051	Chlamydomonas	3052	Chlamydomonas pitschmannii	3061	TRUE
3062	3062	Spondylomoraceae	Korshikov, 1923	FAMILY				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Chlamydomonadales	3042	Spondylomoraceae	3062					TRUE
3063	3063	Pyrobotrys	Arnoldi, 1916	GENUS				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Chlamydomonadales	3042	Spondylomoraceae	3062	Pyrobotrys	3063			TRUE
3064	3064	Pyrobotrys stellata	(Korshikov) Korshikov	SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Chlamydomonadales	3042	Spondylomoraceae	3062	Pyrobotrys	3063	Pyrobotrys stellata	3064	TRUE
3065	3065	Volvocaceae	Ehrenberg, 1834	FAMILY				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Chlamydomonadales	3042	Volvocaceae	3065					TRUE
3066	3066	Volvox	L., 1758	GENUS				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Chlamydomonadales	3042	Volvocaceae	3065	Volvox	3066			TRUE
3067	3067	Volvox carteri	F.Stein	SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Chlamydomonadales	3042	Volvocaceae	3065	Volvox	3066	Volvox carteri	3067	TRUE
3068	3068	Volvox carteri f. nagariensis	M.O.P.Iyengar	FORMA				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Chlamydomonadales	3042	Volvocaceae	3065	Volvox	3066	Volvox carteri	3067	TRUE
3070	3070	Oocystaceae	Bohlin, 1901	FAMILY				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Trebouxiophyceae	75966	Chlorellales	35460	Oocystaceae	3070					TRUE
