tar,seq_length,Analysis,sig_acc,sig_desc,start,stop,e_value,All_Domains
KAE8997119.1,917,Pfam,PF00155,Aminotransferase class I and II,822,894,2.5e-5,"Aminotransferase class I and II, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, Protein kinase domain"
KAE8997119.1,917,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",211,289,9.1e-10,"Aminotransferase class I and II, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, Protein kinase domain"
KAE8997119.1,917,Pfam,PF00168,C2 domain,34,87,610,"Aminotransferase class I and II, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, Protein kinase domain"
KAE8997119.1,917,Pfam,PF00069,Protein kinase domain,378,647,5.9999999999999996e-55,"Aminotransferase class I and II, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, Protein kinase domain"
KAG2776761.1,575,Pfam,PF22749,Arb2 domain,13,222,4.1e-21,"Arb2 domain, C2 domain"
KAG2776761.1,575,Pfam,PF00168,C2 domain,287,382,1e-8,"Arb2 domain, C2 domain"
TYZ61032.1,729,Pfam,PF22749,Arb2 domain,12,215,2.2e-17,"Arb2 domain, C2 domain, FYVE zinc finger"
TYZ61032.1,729,Pfam,PF00168,C2 domain,280,375,3.7e-7,"Arb2 domain, C2 domain, FYVE zinc finger"
TYZ61032.1,729,Pfam,PF01363,FYVE zinc finger,446,494,3.4e-4,"Arb2 domain, C2 domain, FYVE zinc finger"
CAI5723287.1,878,Pfam,PF22749,Arb2 domain,22,222,1.3e-18,"Arb2 domain, C2 domain, FYVE zinc finger, Protein kinase domain"
CAI5723287.1,878,Pfam,PF00168,C2 domain,287,382,3.1e-8,"Arb2 domain, C2 domain, FYVE zinc finger, Protein kinase domain"
CAI5723287.1,878,Pfam,PF01363,FYVE zinc finger,437,486,0.0042,"Arb2 domain, C2 domain, FYVE zinc finger, Protein kinase domain"
CAI5723287.1,878,Pfam,PF00069,Protein kinase domain,540,806,1.4e-66,"Arb2 domain, C2 domain, FYVE zinc finger, Protein kinase domain"
DAZ96507.1,879,Pfam,PF22749,Arb2 domain,21,221,1.1e-20,"Arb2 domain, C2 domain, FYVE zinc finger, Protein kinase domain"
DAZ96507.1,879,Pfam,PF00168,C2 domain,288,383,2.4e-9,"Arb2 domain, C2 domain, FYVE zinc finger, Protein kinase domain"
