"accn","bitscore","evalue","gapopen","hit_description","length","mismatch","name","pident","qend","qseqid","qstart","selected","send","shared name","Species name","sstart","Super.Group","Taxid","TORC2_Presence"
"GCA_016618375.1","736","1.06E-271","1","hypothetical protein DVH05_027144 [Phyto","381","12","KAG1691281.1","96.6","381","UIZ28426.1","1","false","380","KAG1691281.1","Phytophthora capsici","1","Stramenopiles","4784","TORC2 Expected"
"GCA_019155715.1","742","8.09E-274","0","hypothetical protein PHYPSEUDO_001253 [P","381","12","KAG7385601.1","96.9","381","UIZ28426.1","1","false","381","KAG7385601.1","Phytophthora pseudosyringae","1","NA","221518","NA"
"GCA_947650345.1","752","8.809999999999999E-278","0","unnamed protein product [Peronospora des","381","5","CAI5726793.1","98.7","381","UIZ28426.1","1","false","381","CAI5726793.1","Peronospora destructor","1","Stramenopiles","86335","TORC2 Expected"
"GCA_021491655.1","764","1.6600000000000002E-282","0","hypothetical protein KXD40_004613 [Peronos","381","0","UIZ28426.1","100.0","381","UIZ28426.1","1","false","381","UIZ28426.1","Peronospora effusa","1","Stramenopiles","542832","TORC2 Expected"
"GCA_003843895.1","764","1.6600000000000002E-282","0","hypothetical protein DD237_004292 [Peronos","381","0","RQM11694.1","100.0","381","UIZ28426.1","1","false","381","RQM11694.1","Peronospora effusa","1","Stramenopiles","542832","TORC2 Expected"
"GCA_003704535.1","764","1.6600000000000002E-282","0","hypothetical protein DD238_004367 [Peronos","381","0","RMX65786.1","100.0","381","UIZ28426.1","1","false","381","RMX65786.1","Peronospora effusa","1","Stramenopiles","542832","TORC2 Expected"
"GCA_947641895.1","764","1.6600000000000002E-282","0","unnamed protein product [Peronospora eff","381","0","CAI5721756.1","100.0","381","UIZ28426.1","1","false","381","CAI5721756.1","Peronospora effusa","1","Stramenopiles","542832","TORC2 Expected"
"GCA_947646735.1","762","6.7500000000000005E-282","0","unnamed protein product [Peronospora far","381","1","CAI5707233.1","99.7","381","UIZ28426.1","1","false","381","CAI5707233.1","Peronospora farinosa","1","Stramenopiles","134698","TORC2 Expected"
"GCA_920940705.1","762","6.7500000000000005E-282","0","unnamed protein product [Peronospora far","381","1","CAH0493542.1","99.7","381","UIZ28426.1","1","false","381","CAH0493542.1","Peronospora farinosa","1","Stramenopiles","134698","TORC2 Expected"
"GCA_921012115.1","220","2.96E-63","9","unnamed protein product [Peronospora bel","333","182","CAH0519521.1","39.3","1011","KEG07982.1","688","false","362","CAH0519521.1","Peronospora belbahrii","41","Stramenopiles","622444","TORC2 Expected"
"GCA_920618645.1","220","2.96E-63","9","unnamed protein product [Peronospora bel","333","182","CAH0474813.1","39.3","1011","KEG07982.1","688","false","362","CAH0474813.1","Peronospora belbahrii","41","Stramenopiles","622444","TORC2 Expected"
"GCA_009729455.1","1105","0.0","1","RAC family serine/threonine-protein kina","565","12","KAE8885533.1","97.2","565","XP_009528946.1","1","false","561","KAE8885533.1","Phytophthora fragariae","1","Stramenopiles","53985","TORC2 Expected"
"GCA_001029375.2","243","3.9E-69","7","hypothetical protein PINS_up003387 [Pythiu","312","158","GLD94763.1","42.3","1142","TPP48805.1","842","false","486","GLD94763.1","Pythium insidiosum","186","Stramenopiles","114742","TORC2 Expected"
"GCA_005966545.1","303","1.13E-94","4","hypothetical protein Poli38472_007057 [Pyt","341","176","TMW58912.1","44.3","658","XRB16317.1","319","false","487","TMW58912.1","Pythium oligandrum","160","Stramenopiles","41045","TORC2 Expected"
"GCA_027925865.1","664","6.039999999999998E-237","11","TPA: hypothetical protein N0F65_002146 [La","592","161","DAZ95461.1","61.0","584","VFT77706.1","2","false","533","DAZ95461.1","Lagenidium giganteum","3","Stramenopiles","4803","TORC2 Expected"
"GCA_030267905.1","513","8.189999999999999E-181","2","hypothetical protein TrVE_jg2757 [Triparma","339","84","GMI07868.1","72.6","331","XP_002176743.1","2","false","575","GMI07868.1","Triparma verrucosa","237","Stramenopiles","1606542","TORC2 Expected"
"GCA_026770575.1","1150","0.0","0","kinase-like domain-containing protein [P","578","0","KAJ1455224.1","100.0","578","KAJ1455224.1","1","false","578","KAJ1455224.1","Pelagophyceae sp. CCMP2097","1","Stramenopiles","483370","No TORC2"
"GCA_000186865.1","231","3.64E-69","8","hypothetical protein AURANDRAFT_36757 [Aur","349","176","EGB10420.1","42.4","519","KAJ1461131.1","173","false","530","EGB10420.1","Aureococcus anophagefferens","205","Stramenopiles","44056","No TORC2"
"GCA_918797485.1","269","2.28E-83","4","unnamed protein product [Pelagomonas cal","329","170","CAH0374083.1","44.4","600","KAJ9457942.1","285","false","460","CAH0374083.1","Pelagomonas calceolata","132","Stramenopiles","35677","No TORC2"
"GCA_000151545.2","1106","0.0","3","AGC protein kinase [Saprolegnia parasitica","670","96","KDO24494.1","83.3","733","VFT77323.1","65","false","680","KDO24494.1","Saprolegnia parasitica","26","Stramenopiles","695850","TORC2 Expected"
"GCA_026401375.1","1189","0.0","3","hypothetical protein ATCC90586_000015 [P","701","98","KAJ0402417.1","85.6","705","TMW59079.1","6","false","702","KAJ0402417.1","Pythium insidiosum","4","Stramenopiles","114742","TORC2 Expected"
