"","hit_id","query_id","hit_eval","hit_bitscore","hit_description","accn","Taxid","Species.name","Phylum.name","Group.name","Kingdom.name","Super.Group","M.Strategy","TORC2_Presence"
"1","XP_002368822.1","Mass_AKT_Aligned",4.5e-91,313.2,"AGC kinase [Toxoplasma gondii ME49]","GCF_000006565.2",508771,"Toxoplasma gondii","Apicomplexa","apicomplexans",NA,"Alveolata","Plastid Parasite","No TORC2"
"2","XP_002369273.1","Mass_AKT_Aligned",4.7e-41,147,"AGC kinase [Toxoplasma gondii ME49]","GCF_000006565.2",508771,"Toxoplasma gondii","Apicomplexa","apicomplexans",NA,"Alveolata","Plastid Parasite","No TORC2"
"3","XP_018636458.1","Mass_AKT_Aligned",2.5e-22,84.8,"histone kinase SNF1, putative [Toxopla","GCF_000006565.2",508771,"Toxoplasma gondii","Apicomplexa","apicomplexans",NA,"Alveolata","Plastid Parasite","No TORC2"
"4","XP_018636768.1","Mass_AKT_Aligned",3.4e-19,74.4,"serine/threonine protein kinase AktR,","GCF_000006565.2",508771,"Toxoplasma gondii","Apicomplexa","apicomplexans",NA,"Alveolata","Plastid Parasite","No TORC2"
"5","XP_002364378.1","Mass_AKT_Aligned",2.3e-11,48.4,"protein kinase G AGC kinase family mem","GCF_000006565.2",508771,"Toxoplasma gondii","Apicomplexa","apicomplexans",NA,"Alveolata","Plastid Parasite","No TORC2"
"6","XP_002366266.1","Mass_AKT_Aligned",6.3,10.4,"AGC kinase [Toxoplasma gondii ME49]","GCF_000006565.2",508771,"Toxoplasma gondii","Apicomplexa","apicomplexans",NA,"Alveolata","Plastid Parasite","No TORC2"
"7","XP_001346828.1","Mass_AKT_Aligned",3.9e-38,133.1,"Protein kinase (macronuclear) [Paramec","GCF_000141845.1",412030,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"8","XP_001347161.1","Mass_AKT_Aligned",1.4e-34,121.3,"Putative kinase, similar to Sgk1 serin","GCF_000141845.1",412030,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"9","XP_001346931.1","Mass_AKT_Aligned",1.7e-09,38,"Protein kinase (macronuclear) [Paramec","GCF_000141845.1",412030,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"10","XP_001347133.1","Mass_AKT_Aligned",1.3e-08,35.1,"cAMP-dependent protein kinase catalyti","GCF_000141845.1",412030,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"11","XP_001347178.1","Mass_AKT_Aligned",0.0042,16.7,"cGMP-dependent protein kinase (macronu","GCF_000141845.1",412030,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"12","XP_001426528.1","Mass_AKT_Aligned",7.5e-63,221.6,"uncharacterized protein GSPATT00029761","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"13","XP_001446226.1","Mass_AKT_Aligned",3.6e-62,219.4,"uncharacterized protein GSPATT00001870","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"14","XP_001457029.1","Mass_AKT_Aligned",9.2e-62,218,"uncharacterized protein GSPATT00022804","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"15","XP_001450719.1","Mass_AKT_Aligned",2.1e-61,216.8,"uncharacterized protein GSPATT00017666","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"16","XP_001436214.1","Mass_AKT_Aligned",3.4e-61,216.2,"uncharacterized protein GSPATT00007028","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"17","XP_001456072.1","Mass_AKT_Aligned",7.4e-61,215,"uncharacterized protein GSPATT00021843","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"18","XP_001453777.1","Mass_AKT_Aligned",1.7e-60,213.8,"uncharacterized protein GSPATT00020061","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"19","XP_001456532.1","Mass_AKT_Aligned",1.2e-59,211,"uncharacterized protein GSPATT00022304","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"20","XP_001454607.1","Mass_AKT_Aligned",6.6e-59,208.5,"uncharacterized protein GSPATT00020863","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"21","XP_001437914.1","Mass_AKT_Aligned",6.6e-58,205.2,"uncharacterized protein GSPATT00007652","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"22","XP_001442463.1","Mass_AKT_Aligned",5.2e-57,202.2,"uncharacterized protein GSPATT00001268","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"23","XP_001455304.1","Mass_AKT_Aligned",7.9e-57,201.6,"uncharacterized protein GSPATT00021531","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"24","XP_001424500.1","Mass_AKT_Aligned",9.9e-54,191.4,"uncharacterized protein GSPATT00028137","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"25","XP_001449219.1","Mass_AKT_Aligned",2.9e-53,189.8,"uncharacterized protein GSPATT00016635","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"26","XP_001437129.1","Mass_AKT_Aligned",8.6e-53,188.2,"uncharacterized protein GSPATT00038175","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"27","XP_001454992.1","Mass_AKT_Aligned",2.1e-52,187,"uncharacterized protein GSPATT00021227","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"28","XP_001443168.1","Mass_AKT_Aligned",2.5e-52,186.7,"uncharacterized protein GSPATT00011371","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"29","XP_001458902.1","Mass_AKT_Aligned",1.8e-51,183.8,"uncharacterized protein GSPATT00024233","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"30","XP_001458576.1","Mass_AKT_Aligned",5.8e-50,178.8,"uncharacterized protein GSPATT00023907","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"31","XP_001442059.1","Mass_AKT_Aligned",7.6e-50,178.4,"uncharacterized protein GSPATT00010830","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"32","XP_001446772.1","Mass_AKT_Aligned",1.6e-49,177.4,"uncharacterized protein GSPATT00014321","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"33","XP_001431227.1","Mass_AKT_Aligned",3.4e-47,169.7,"uncharacterized protein GSPATT00033682","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"34","XP_001437858.1","Mass_AKT_Aligned",1.1e-46,168,"uncharacterized protein GSPATT00038565","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"35","XP_001462149.1","Mass_AKT_Aligned",1.3e-46,167.7,"uncharacterized protein GSPATT00027100","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"36","XP_001427766.1","Mass_AKT_Aligned",1.3e-46,167.7,"uncharacterized protein GSPATT00005117","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"37","XP_001429186.1","Mass_AKT_Aligned",1.5e-46,167.5,"uncharacterized protein GSPATT00032020","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"38","XP_001428411.1","Mass_AKT_Aligned",1.2e-45,164.5,"uncharacterized protein GSPATT00031242","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"39","XP_001450629.1","Mass_AKT_Aligned",1.1e-44,161.3,"uncharacterized protein GSPATT00017576","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"40","XP_001434202.1","Mass_AKT_Aligned",1.2e-44,161.2,"uncharacterized protein GSPATT00035935","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"41","XP_001428156.1","Mass_AKT_Aligned",1.9e-44,160.5,"uncharacterized protein GSPATT00030987","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"42","XP_001430851.1","Mass_AKT_Aligned",2.6e-44,160.1,"uncharacterized protein GSPATT00033306","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"43","XP_001457615.1","Mass_AKT_Aligned",6.3e-44,158.8,"uncharacterized protein GSPATT00023393","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"44","XP_001433089.1","Mass_AKT_Aligned",8.1e-44,158.4,"uncharacterized protein GSPATT00035172","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"45","XP_001431467.1","Mass_AKT_Aligned",1.4e-43,157.6,"uncharacterized protein GSPATT00005921","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"46","XP_001455942.1","Mass_AKT_Aligned",1.9e-43,157.2,"uncharacterized protein GSPATT00021713","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"47","XP_001426136.1","Mass_AKT_Aligned",1.9e-43,157.2,"uncharacterized protein GSPATT00029366","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"48","XP_001455977.1","Mass_AKT_Aligned",6e-43,155.5,"uncharacterized protein GSPATT00021748","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"49","XP_001425565.1","Mass_AKT_Aligned",2.9e-42,153.2,"uncharacterized protein GSPATT00029203","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"50","XP_001433420.1","Mass_AKT_Aligned",4.6e-41,149.3,"uncharacterized protein GSPATT00006522","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"51","XP_001425164.1","Mass_AKT_Aligned",6.8e-41,148.7,"uncharacterized protein GSPATT00028801","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"52","XP_001427505.1","Mass_AKT_Aligned",1.5e-40,147.5,"uncharacterized protein GSPATT00030745","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"53","XP_001432136.1","Mass_AKT_Aligned",3.2e-40,146.5,"uncharacterized protein GSPATT00034216","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"54","XP_001426240.1","Mass_AKT_Aligned",3.3e-40,146.4,"uncharacterized protein GSPATT00029472","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
