tar,tar_acc,query,hmm_acc,full_e,full_score,full_bias,dom_e,dom_score,dom_bias,acc
EEY67999.1,-,PH,PF00169.35,8.4e-09,35.9,0.1,2.3e-08,34.5,0.1,GCA_000142945.1
EEY58752.1,-,PH,PF00169.35,0.00038,20.9,0.0,0.00074,20.0,0.0,GCA_000142945.1
EGZ29420.1,-,PH,PF00169.35,0.001,20.1,0.0,0.0019,19.2,0.0,GCA_000149755.2
EGZ27644.1,-,PH,PF00169.35,0.0056,17.7,0.1,0.027,15.5,0.1,GCA_000149755.2
KDO18578.1,-,PH,PF00169.35,2.9e-06,27.9,0.0,5.8e-06,26.9,0.0,GCA_000151545.2
ETN07522.1,-,PH,PF00169.35,9.1e-09,36.4,0.1,2.4e-08,35.0,0.1,GCA_000247585.2
ETN07523.1,-,PH,PF00169.35,9.1e-09,36.4,0.1,2.4e-08,35.0,0.1,GCA_000247585.2
ETN07524.1,-,PH,PF00169.35,9.1e-09,36.4,0.1,2.4e-08,35.0,0.1,GCA_000247585.2
ETN01163.1,-,PH,PF00169.35,0.002,19.2,0.0,0.0039,18.3,0.0,GCA_000247585.2
EQC33696.1,-,PH,PF00169.35,3.8e-11,43.4,0.3,7.5e-11,42.5,0.3,GCA_000281045.1
EQC35162.1,-,PH,PF00169.35,3.4e-06,27.5,0.0,6.6e-06,26.6,0.0,GCA_000281045.1
KAF4315866.1,-,PH,PF00169.35,0.00033,20.5,0.0,0.00065,19.6,0.0,GCA_000333075.3
ETI43923.1,-,PH,PF00169.35,9.1e-09,36.4,0.1,2.5e-08,35.0,0.1,GCA_000365505.1
ETI43924.1,-,PH,PF00169.35,9.1e-09,36.4,0.1,2.5e-08,35.0,0.1,GCA_000365505.1
ETI43925.1,-,PH,PF00169.35,9.1e-09,36.4,0.1,2.5e-08,35.0,0.1,GCA_000365505.1
ETI34817.1,-,PH,PF00169.35,0.002,19.2,0.0,0.004,18.3,0.0,GCA_000365505.1
ETO72614.1,-,PH,PF00169.35,9.1e-09,36.4,0.1,2.5e-08,35.0,0.1,GCA_000365525.1
ETO72615.1,-,PH,PF00169.35,9.1e-09,36.4,0.1,2.5e-08,35.0,0.1,GCA_000365525.1
ETO72616.1,-,PH,PF00169.35,9.1e-09,36.4,0.1,2.5e-08,35.0,0.1,GCA_000365525.1
ETO63559.1,-,PH,PF00169.35,0.0021,19.2,0.0,0.004,18.3,0.0,GCA_000365525.1
ETP13740.1,-,PH,PF00169.35,9.1e-09,36.4,0.1,2.5e-08,35.0,0.1,GCA_000365545.1
ETP13741.1,-,PH,PF00169.35,9.1e-09,36.4,0.1,2.5e-08,35.0,0.1,GCA_000365545.1
ETP13742.1,-,PH,PF00169.35,9.1e-09,36.4,0.1,2.5e-08,35.0,0.1,GCA_000365545.1
ETP04656.1,-,PH,PF00169.35,0.002,19.2,0.0,0.004,18.3,0.0,GCA_000365545.1
ETP41802.1,-,PH,PF00169.35,9.1e-09,36.4,0.1,2.4e-08,35.0,0.1,GCA_000367145.1
ETP41803.1,-,PH,PF00169.35,9.1e-09,36.4,0.1,2.4e-08,35.0,0.1,GCA_000367145.1
ETP41804.1,-,PH,PF00169.35,9.1e-09,36.4,0.1,2.4e-08,35.0,0.1,GCA_000367145.1
ETP32804.1,-,PH,PF00169.35,0.002,19.2,0.0,0.0039,18.3,0.0,GCA_000367145.1
ETK83971.1,-,PH,PF00169.35,8.7e-09,36.4,0.1,2.3e-08,35.0,0.1,GCA_000509465.1
ETK83972.1,-,PH,PF00169.35,8.7e-09,36.4,0.1,2.3e-08,35.0,0.1,GCA_000509465.1
ETK83973.1,-,PH,PF00169.35,8.7e-09,36.4,0.1,2.3e-08,35.0,0.1,GCA_000509465.1
ETK75102.1,-,PH,PF00169.35,0.002,19.2,0.0,0.0038,18.3,0.0,GCA_000509465.1
ETL37384.1,-,PH,PF00169.35,8.7e-09,36.4,0.1,2.3e-08,35.0,0.1,GCA_000509485.1
ETL37385.1,-,PH,PF00169.35,8.7e-09,36.4,0.1,2.3e-08,35.0,0.1,GCA_000509485.1
ETL37386.1,-,PH,PF00169.35,8.7e-09,36.4,0.1,2.3e-08,35.0,0.1,GCA_000509485.1
ETL28522.1,-,PH,PF00169.35,0.0019,19.2,0.0,0.0038,18.3,0.0,GCA_000509485.1
ETL90542.1,-,PH,PF00169.35,8.6e-09,36.4,0.1,2.3e-08,35.0,0.1,GCA_000509505.1
ETL90543.1,-,PH,PF00169.35,8.6e-09,36.4,0.1,2.3e-08,35.0,0.1,GCA_000509505.1
ETL90544.1,-,PH,PF00169.35,8.6e-09,36.4,0.1,2.3e-08,35.0,0.1,GCA_000509505.1
ETL81778.1,-,PH,PF00169.35,0.0019,19.2,0.0,0.0037,18.3,0.0,GCA_000509505.1
ETM43846.1,-,PH,PF00169.35,8.7e-09,36.4,0.1,2.3e-08,35.0,0.1,GCA_000509525.1
ETM43847.1,-,PH,PF00169.35,8.7e-09,36.4,0.1,2.3e-08,35.0,0.1,GCA_000509525.1
ETM43848.1,-,PH,PF00169.35,8.7e-09,36.4,0.1,2.3e-08,35.0,0.1,GCA_000509525.1
ETM34981.1,-,PH,PF00169.35,0.0019,19.2,0.0,0.0038,18.3,0.0,GCA_000509525.1
ETV88627.1,-,PH,PF00169.35,6.5e-13,49.6,0.3,1.6e-12,48.3,0.3,GCA_000520075.1
ETV71182.1,-,PH,PF00169.35,1.9e-10,41.7,0.1,4.3e-10,40.6,0.1,GCA_000520075.1
ETV72864.1,-,PH,PF00169.35,3e-05,25.0,0.0,5.8e-05,24.1,0.0,GCA_000520075.1
ETW09150.1,-,PH,PF00169.35,4.2e-13,49.9,0.2,9.8e-13,48.7,0.2,GCA_000520115.1
ETW01800.1,-,PH,PF00169.35,9e-11,42.4,0.1,2.5e-10,41.0,0.1,GCA_000520115.1
ETV98311.1,-,PH,PF00169.35,0.00063,20.4,0.0,0.0014,19.3,0.0,GCA_000520115.1
KAG2510422.1,-,PH,PF00169.35,0.00028,20.5,0.0,0.00055,19.6,0.0,GCA_000785725.3
KAG2507456.1,-,PH,PF00169.35,0.00028,20.5,0.0,0.00055,19.6,0.0,GCA_000785735.3
GLD99509.1,-,PH,PF00169.35,0.06,14.0,0.0,0.13,12.9,0.0,GCA_001029375.2
CCI46000.1,-,PH,PF00169.35,2.8e-11,43.5,0.0,5.7e-11,42.4,0.0,GCA_001078535.1
CCI45999.1,-,PH,PF00169.35,2.8e-11,43.4,0.0,5.8e-11,42.4,0.0,GCA_001078535.1
CCI41224.1,-,PH,PF00169.35,1.6e-07,31.4,0.1,3.5e-07,30.3,0.1,GCA_001078535.1
CCI41225.1,-,PH,PF00169.35,1.6e-07,31.4,0.1,3.5e-07,30.3,0.1,GCA_001078535.1
CCI42455.1,-,PH,PF00169.35,2.8e-06,27.4,0.1,5.2e-06,26.5,0.1,GCA_001078535.1
CCI42456.1,-,PH,PF00169.35,2.8e-06,27.4,0.1,5.2e-06,26.5,0.1,GCA_001078535.1
CCI42458.1,-,PH,PF00169.35,2.9e-06,27.3,0.1,5.5e-06,26.4,0.1,GCA_001078535.1
CCI42457.1,-,PH,PF00169.35,2.9e-06,27.3,0.1,5.5e-06,26.4,0.1,GCA_001078535.1
