tar,tar_acc,query,hmm_acc,full_e,full_score,full_bias,dom_e,dom_score,dom_bias,acc
XP_817377.1,-,PH,PF00169.35,3.8e-10,40.3,0,1.7e-5,25.4,0,GCF_000209065.1
XP_815140.1,-,PH,PF00169.35,4.1e-10,40.2,0,1.9e-5,25.2,0,GCF_000209065.1
XP_044556707.1,-,PH,PF00169.35,6.9e-20,71.2,2,4.7e-19,68.5,0.2,GCF_008403515.1
XP_044556756.1,-,PH,PF00169.35,4.3e-15,55.8,0,8.9e-15,54.7,0,GCF_008403515.1
XP_001579736.1,-,PH,PF00169.35,2e-20,75.2,0.4,5e-20,73.9,0.1,GCF_026262505.1
XP_001313212.1,-,PH,PF00169.35,1.8e-17,65.7,0.5,5.2e-17,64.2,0.2,GCF_026262505.1
XP_001325115.1,-,PH,PF00169.35,2.2e-17,65.4,0.1,3.4e-17,64.8,0.1,GCF_026262505.1
XP_001308557.1,-,PH,PF00169.35,7.8e-17,63.7,0,1.3e-16,62.9,0,GCF_026262505.1
XP_001306996.1,-,PH,PF00169.35,1.2e-16,63.1,0,2.4e-16,62.1,0,GCF_026262505.1
XP_001310870.1,-,PH,PF00169.35,1.5e-15,59.6,0.2,3.5e-15,58.3,0.2,GCF_026262505.1
XP_001329056.1,-,PH,PF00169.35,2.3e-15,58.9,0,4.8e-15,57.9,0,GCF_026262505.1
XP_001321016.1,-,PH,PF00169.35,2.4e-10,42.8,0,5.8e-10,41.6,0,GCF_026262505.1
XP_001316333.1,-,PH,PF00169.35,3.4e-10,42.3,0.1,8e-10,41.1,0.1,GCF_026262505.1
XP_001327706.1,-,PH,PF00169.35,4.1e-9,38.8,0.1,9.1e-9,37.7,0.1,GCF_026262505.1
XP_051089107.1,-,PH,PF00169.35,4.4e-9,38.7,1.5,1.1e-8,37.4,1.5,GCF_026262505.1
XP_001301129.1,-,PH,PF00169.35,2e-8,36.6,0.1,3.6e-8,35.8,0.1,GCF_026262505.1
XP_001321160.1,-,PH,PF00169.35,2.2e-8,36.5,0,6.4e-8,35,0,GCF_026262505.1
XP_001327610.1,-,PH,PF00169.35,3.4e-8,35.9,0,2.8e-7,33,0,GCF_026262505.1
XP_001324743.1,-,PH,PF00169.35,1.6e-7,33.7,0,4.3e-7,32.3,0,GCF_026262505.1
XP_001583654.1,-,PH,PF00169.35,4.1e-7,32.4,0.1,9.7e-7,31.2,0.1,GCF_026262505.1
