tar,tar_acc,query,hmm_acc,full_e,full_score,full_bias,dom_e,dom_score,dom_bias,acc,SuperGroup
PNW73945.1,-,RPS6_kin_2,PIRSF000606,1e-99,334.9,0,1.5e-99,334.4,0,GCA_000002595.3,Chlorophyta
PNW86201.1,-,RPS6_kin_2,PIRSF000606,1.6999999999999999e-91,307.8,0,2.3999999999999998e-91,307.3,0,GCA_000002595.3,Chlorophyta
PNW71866.1,-,RPS6_kin_2,PIRSF000606,4.6e-90,303.1,0,6.1e-90,302.6,0,GCA_000002595.3,Chlorophyta
PNW88444.1,-,RPS6_kin_2,PIRSF000606,9.3e-85,285.5,1.3,1.3e-51,175.9,1.2,GCA_000002595.3,Chlorophyta
PNW73763.1,-,RPS6_kin_2,PIRSF000606,2.1e-78,264.5,0.2,2.8e-78,264.1,0.2,GCA_000002595.3,Chlorophyta
PNW77938.1,-,RPS6_kin_2,PIRSF000606,2.8e-77,260.8,0,3.4e-77,260.5,0,GCA_000002595.3,Chlorophyta
PNW85942.1,-,RPS6_kin_2,PIRSF000606,4.8e-77,260,0,6.8999999999999996e-77,259.5,0,GCA_000002595.3,Chlorophyta
PNW82828.1,-,RPS6_kin_2,PIRSF000606,1.0999999999999999e-75,255.5,0,1.4e-75,255.1,0,GCA_000002595.3,Chlorophyta
PNW85943.1,-,RPS6_kin_2,PIRSF000606,9e-75,252.5,0,1e-38,133.2,0.2,GCA_000002595.3,Chlorophyta
PNW83110.1,-,RPS6_kin_2,PIRSF000606,5.1000000000000005e-74,250,0,1.0999999999999999e-44,153,0,GCA_000002595.3,Chlorophyta
PNW70081.1,-,RPS6_kin_2,PIRSF000606,4.7999999999999996e-70,236.8,0,6.499999999999999e-70,236.4,0,GCA_000002595.3,Chlorophyta
PNW69799.1,-,RPS6_kin_2,PIRSF000606,7.099999999999999e-70,236.3,0.5,1.5e-69,235.2,0,GCA_000002595.3,Chlorophyta
PNW71649.1,-,RPS6_kin_2,PIRSF000606,2.8e-69,234.3,0,1.1999999999999999e-57,195.9,0,GCA_000002595.3,Chlorophyta
PNW87243.1,-,RPS6_kin_2,PIRSF000606,3.9e-69,233.8,0,5.4e-69,233.4,0,GCA_000002595.3,Chlorophyta
PNW74512.1,-,RPS6_kin_2,PIRSF000606,1.4999999999999998e-68,231.9,0,9.999999999999998e-58,196.1,0,GCA_000002595.3,Chlorophyta
PNW87981.1,-,RPS6_kin_2,PIRSF000606,2.0999999999999998e-67,228.1,0,2.0999999999999998e-67,228.1,0,GCA_000002595.3,Chlorophyta
PNW71699.1,-,RPS6_kin_2,PIRSF000606,1.1e-66,225.7,0,1.4e-66,225.3,0,GCA_000002595.3,Chlorophyta
PNW80765.1,-,RPS6_kin_2,PIRSF000606,1.3e-65,222.2,0,1.7000000000000001e-65,221.8,0,GCA_000002595.3,Chlorophyta
PNW84417.1,-,RPS6_kin_2,PIRSF000606,1.7e-64,218.5,0,2.2e-64,218.1,0,GCA_000002595.3,Chlorophyta
PNW84654.1,-,RPS6_kin_2,PIRSF000606,9.6e-63,212.7,0,1.4e-62,212.1,0,GCA_000002595.3,Chlorophyta
PNW76413.1,-,RPS6_kin_2,PIRSF000606,2.5999999999999997e-58,198,0,1.2e-50,172.7,0,GCA_000002595.3,Chlorophyta
PNW84016.1,-,RPS6_kin_2,PIRSF000606,7.3e-58,196.6,0,9.799999999999999e-58,196.1,0,GCA_000002595.3,Chlorophyta
PNW73729.1,-,RPS6_kin_2,PIRSF000606,1.6999999999999998e-57,195.3,1.7,6.399999999999999e-57,193.4,0,GCA_000002595.3,Chlorophyta
PNW81904.1,-,RPS6_kin_2,PIRSF000606,6.699999999999999e-57,193.4,0,8.5e-57,193,0,GCA_000002595.3,Chlorophyta
PNW80223.1,-,RPS6_kin_2,PIRSF000606,2.4e-55,188.2,0,3.4e-55,187.7,0,GCA_000002595.3,Chlorophyta
PNW77016.1,-,RPS6_kin_2,PIRSF000606,3.4e-55,187.8,0,7.3e-29,100.6,0,GCA_000002595.3,Chlorophyta
PNW87827.1,-,RPS6_kin_2,PIRSF000606,4.1999999999999996e-55,187.4,0,6.199999999999999e-55,186.9,0,GCA_000002595.3,Chlorophyta
PNW86128.1,-,RPS6_kin_2,PIRSF000606,2.7e-54,184.7,0,3.8e-53,181,0,GCA_000002595.3,Chlorophyta
PNW84095.1,-,RPS6_kin_2,PIRSF000606,9.599999999999999e-54,182.9,0,1.4999999999999999e-53,182.3,0,GCA_000002595.3,Chlorophyta
PNW73571.1,-,RPS6_kin_2,PIRSF000606,1.8e-52,178.7,0,2.6e-52,178.2,0,GCA_000002595.3,Chlorophyta
PNW78157.1,-,RPS6_kin_2,PIRSF000606,1.9e-52,178.6,0,2.7e-52,178.1,0,GCA_000002595.3,Chlorophyta
PNW73687.1,-,RPS6_kin_2,PIRSF000606,4.3e-52,177.5,0,1.7e-24,86.2,0,GCA_000002595.3,Chlorophyta
PNW88477.1,-,RPS6_kin_2,PIRSF000606,2.1e-51,175.2,0,3e-51,174.7,0,GCA_000002595.3,Chlorophyta
PNW88603.1,-,RPS6_kin_2,PIRSF000606,7.3e-50,170.1,0,9.6e-50,169.7,0,GCA_000002595.3,Chlorophyta
PNW79373.1,-,RPS6_kin_2,PIRSF000606,1.2e-49,169.4,0.1,1.4999999999999998e-49,169.1,0.1,GCA_000002595.3,Chlorophyta
PNW75452.1,-,RPS6_kin_2,PIRSF000606,1.2e-49,169.4,0,1.6999999999999998e-49,168.9,0,GCA_000002595.3,Chlorophyta
PNW81547.1,-,RPS6_kin_2,PIRSF000606,3.5e-49,167.8,0,5e-49,167.3,0,GCA_000002595.3,Chlorophyta
PNW87046.1,-,RPS6_kin_2,PIRSF000606,3.7e-49,167.8,0,1.4e-25,89.8,0,GCA_000002595.3,Chlorophyta
PNW78821.1,-,RPS6_kin_2,PIRSF000606,1.4e-48,165.8,0,1.7999999999999998e-48,165.5,0,GCA_000002595.3,Chlorophyta
PNW88604.1,-,RPS6_kin_2,PIRSF000606,2.2999999999999998e-48,165.2,0,3.2e-48,164.7,0,GCA_000002595.3,Chlorophyta
PNW88613.1,-,RPS6_kin_2,PIRSF000606,8.4e-48,163.3,0,1.0999999999999999e-47,162.9,0,GCA_000002595.3,Chlorophyta
PNW88566.1,-,RPS6_kin_2,PIRSF000606,2.9e-46,158.2,0,3.8999999999999995e-46,157.8,0,GCA_000002595.3,Chlorophyta
PNW75030.1,-,RPS6_kin_2,PIRSF000606,4.9e-46,157.4,0,6.4e-46,157.1,0,GCA_000002595.3,Chlorophyta
PNW82756.1,-,RPS6_kin_2,PIRSF000606,6.699999999999999e-46,157,0,8.5e-46,156.7,0,GCA_000002595.3,Chlorophyta
PNW76909.1,-,RPS6_kin_2,PIRSF000606,1.0999999999999999e-44,153,0,1.3999999999999998e-44,152.6,0,GCA_000002595.3,Chlorophyta
PNW76914.1,-,RPS6_kin_2,PIRSF000606,1e-43,149.8,0,1.2e-23,83.4,0,GCA_000002595.3,Chlorophyta
PNW77593.1,-,RPS6_kin_2,PIRSF000606,5.1e-43,147.5,0,7.3e-43,146.9,0,GCA_000002595.3,Chlorophyta
PNW71511.1,-,RPS6_kin_2,PIRSF000606,5.499999999999999e-43,147.4,0,6.5999999999999995e-43,147.1,0,GCA_000002595.3,Chlorophyta
PNW77250.1,-,RPS6_kin_2,PIRSF000606,6.7e-42,143.8,0,1.9e-36,125.8,0,GCA_000002595.3,Chlorophyta
PNW70091.1,-,RPS6_kin_2,PIRSF000606,1.7e-41,142.4,0,6.2e-36,124,0,GCA_000002595.3,Chlorophyta
PNW86056.1,-,RPS6_kin_2,PIRSF000606,1.8e-41,142.4,0,2.0999999999999999e-41,142.1,0,GCA_000002595.3,Chlorophyta
PNW85512.1,-,RPS6_kin_2,PIRSF000606,2e-41,142.2,0,3e-41,141.6,0,GCA_000002595.3,Chlorophyta
PNW88594.1,-,RPS6_kin_2,PIRSF000606,5.3e-41,140.8,0,8.099999999999999e-41,140.2,0,GCA_000002595.3,Chlorophyta
PNW81253.1,-,RPS6_kin_2,PIRSF000606,5.599999999999999e-41,140.7,0,7.1e-41,140.4,0,GCA_000002595.3,Chlorophyta
PNW72926.1,-,RPS6_kin_2,PIRSF000606,1.4999999999999999e-40,139.3,0,3.7999999999999996e-35,121.5,0,GCA_000002595.3,Chlorophyta
PNW74407.1,-,RPS6_kin_2,PIRSF000606,2.9e-40,138.3,0.2,2.3e-39,135.4,0.2,GCA_000002595.3,Chlorophyta
PNW87995.1,-,RPS6_kin_2,PIRSF000606,3.2e-40,138.2,0.1,4.6e-39,134.4,0.1,GCA_000002595.3,Chlorophyta
PNW79089.1,-,RPS6_kin_2,PIRSF000606,4e-40,137.9,0,5.8e-40,137.4,0,GCA_000002595.3,Chlorophyta
PNW79090.1,-,RPS6_kin_2,PIRSF000606,4e-40,137.9,0,5.9e-40,137.3,0,GCA_000002595.3,Chlorophyta
PNW78096.1,-,RPS6_kin_2,PIRSF000606,5.1e-40,137.6,0,2.3999999999999998e-39,135.3,0,GCA_000002595.3,Chlorophyta
PNW86177.1,-,RPS6_kin_2,PIRSF000606,5.8e-40,137.4,0,9.3e-39,133.4,0,GCA_000002595.3,Chlorophyta
PNW75791.1,-,RPS6_kin_2,PIRSF000606,6.8e-40,137.1,0,8.8e-40,136.8,0,GCA_000002595.3,Chlorophyta
PNW75792.1,-,RPS6_kin_2,PIRSF000606,6.8e-40,137.1,0,8.9e-40,136.8,0,GCA_000002595.3,Chlorophyta
PNW88874.1,-,RPS6_kin_2,PIRSF000606,9e-40,136.7,0,1.1e-39,136.4,0,GCA_000002595.3,Chlorophyta
PNW79609.1,-,RPS6_kin_2,PIRSF000606,1.1e-39,136.4,0,1.1e-39,136.4,0,GCA_000002595.3,Chlorophyta
PNW73858.1,-,RPS6_kin_2,PIRSF000606,2.1e-39,135.5,0,9.999999999999999e-34,116.7,0,GCA_000002595.3,Chlorophyta
PNW70648.1,-,RPS6_kin_2,PIRSF000606,2.6e-39,135.2,0,3.6e-39,134.8,0,GCA_000002595.3,Chlorophyta
PNW86176.1,-,RPS6_kin_2,PIRSF000606,1.0999999999999999e-38,133.1,0,9.7e-21,73.8,0,GCA_000002595.3,Chlorophyta
PNW83271.1,-,RPS6_kin_2,PIRSF000606,2.0999999999999999e-38,132.2,0.1,2.9e-38,131.7,0.1,GCA_000002595.3,Chlorophyta
PNW81423.1,-,RPS6_kin_2,PIRSF000606,2.5999999999999996e-38,131.9,0,4.999999999999999e-34,117.7,0,GCA_000002595.3,Chlorophyta
PNW74267.1,-,RPS6_kin_2,PIRSF000606,3.4999999999999996e-38,131.5,0,1.4e-37,129.5,0,GCA_000002595.3,Chlorophyta
PNW75146.1,-,RPS6_kin_2,PIRSF000606,5e-38,131,0,9.999999999999999e-38,129.9,0,GCA_000002595.3,Chlorophyta
PNW87799.1,-,RPS6_kin_2,PIRSF000606,5.499999999999999e-38,130.8,0,1.8e-30,106,0,GCA_000002595.3,Chlorophyta
PNW75720.1,-,RPS6_kin_2,PIRSF000606,1.3000000000000001e-37,129.6,0,7e-35,120.6,0,GCA_000002595.3,Chlorophyta
PNW86175.1,-,RPS6_kin_2,PIRSF000606,1.5e-37,129.4,0,7.7e-21,74.1,0,GCA_000002595.3,Chlorophyta
PNW75510.1,-,RPS6_kin_2,PIRSF000606,3.8e-37,128,0,5.6e-37,127.5,0,GCA_000002595.3,Chlorophyta
PNW77588.1,-,RPS6_kin_2,PIRSF000606,4.2e-37,127.9,0,5.1e-37,127.6,0,GCA_000002595.3,Chlorophyta
PNW70426.1,-,RPS6_kin_2,PIRSF000606,7.1e-37,127.2,0,1.1e-36,126.5,0,GCA_000002595.3,Chlorophyta
PNW74808.1,-,RPS6_kin_2,PIRSF000606,9.2e-37,126.8,0.1,5e-31,107.8,0,GCA_000002595.3,Chlorophyta
PNW71119.1,-,RPS6_kin_2,PIRSF000606,1e-36,126.6,0,3.4e-34,118.3,0,GCA_000002595.3,Chlorophyta
PNW82672.1,-,RPS6_kin_2,PIRSF000606,1.5999999999999998e-36,126,0,2.1e-36,125.6,0,GCA_000002595.3,Chlorophyta
PNW73660.1,-,RPS6_kin_2,PIRSF000606,1.6999999999999998e-36,125.9,0,2.2e-36,125.5,0,GCA_000002595.3,Chlorophyta
PNW73661.1,-,RPS6_kin_2,PIRSF000606,1.6999999999999998e-36,125.9,0,2.3e-36,125.5,0,GCA_000002595.3,Chlorophyta
PNW87779.1,-,RPS6_kin_2,PIRSF000606,6.3e-36,124,0,1.4e-35,122.8,0,GCA_000002595.3,Chlorophyta
PNW75021.1,-,RPS6_kin_2,PIRSF000606,7.1e-36,123.8,0,9.2e-36,123.5,0,GCA_000002595.3,Chlorophyta
