,Accn,Super.Group,Organism_Taxonomic_ID,Organism.Name,SIN1,RICTOR,RAPTOR,TOR,LST8,Class.name,Phylum.name,Order.name,Family.name,Genus.name,Source,C.score,Frag.score,SIN1All,SIN1Domain,RICTORAll,RICTORDomain,RAPTORAll,RAPTORDomain,LST8All,LST8Domain,TORAll,TORDomain,M.Strategy
1,Amoce1,Alveolata,1775427,Amoebophrya sp. AT5.2,NA,NA,NA,M,NA,Dinophyceae,NA,Syndiniales,Amoebophryaceae,Amoebophrya,JGI,87.9,11.1,NA,NA,NA,NA,NA,NA,NA,NA,228.8,228.6,Parasite
2,Polgl2088,Alveolata,89957,Polarella glacialis,NA,L,L,H,M,Dinophyceae,NA,Suessiales,Suessiaceae,Polarella,JGI,60.6,20.2,NA,NA,133.1,130.4,329.4,329.1,298.4,297.4,1302.4,1302.1,Autotrophic
3,Chrveli1,Alveolata,1169474,Chromera velia CCMP2878,NA,NA,H,H,H,NA,NA,NA,Chromeraceae,Chromera,JGI,95.9,3.5,NA,NA,NA,NA,418.8,338,310.8,310.5,936.7,936.5,Autotrophic
4,Fugka2468,Alveolata,2697096,Fugacium kawagutii,NA,NA,NA,M,L,Dinophyceae,NA,Suessiales,Symbiodiniaceae,Fugacium,JGI,52.5,19.2,NA,NA,NA,NA,NA,NA,811.4,106,245.2,232.5,Endosymbiotic
5,Clago1,Alveolata,2562237,Cladocopium goreaui,NA,NA,NA,H,L,Dinophyceae,NA,Suessiales,Symbiodiniaceae,Cladocopium,JGI,49.5,20.2,NA,NA,NA,NA,NA,NA,156.6,122.8,499.5,499.4,Endosymbiotic
6,Bremi1,Alveolata,2499525,Breviolum minutum,NA,NA,NA,H,L,Dinophyceae,NA,Suessiales,Symbiodiniaceae,Breviolum,JGI,64.6,28.3,NA,NA,NA,NA,NA,NA,153.5,111.3,446.4,446.4,Endosymbiotic
7,Vitbras1,Alveolata,1169540,Vitrella brassicaformis CCMP3155,NA,M,H,H,H,NA,NA,NA,Vitrellaceae,Vitrella,JGI,99,1,NA,NA,428.7,231.7,651.7,396.2,302,301.6,1434.1,1432.9,Mixotroph
8,Tetthe1,Alveolata,312017,Tetrahymena thermophila SB210,NA,H,NA,H,M,Oligohymenophorea,Ciliophora,Hymenostomatida,Tetrahymenidae,Tetrahymena,JGI,100,0,NA,NA,641.8,638.1,NA,NA,271.4,271.1,1095.5,1095.5,Heterotroph
9,Toxgon1,Alveolata,508771,Toxoplasma gondii ME49,NA,NA,NA,H,L,Conoidasida,Apicomplexa,Eucoccidiorida,Sarcocystidae,Toxoplasma,JGI,100,0,NA,NA,NA,NA,NA,NA,125.4,119.6,727,727,Parasite
10,Oxytri1,Alveolata,1172189,Oxytricha trifallax,NA,H,NA,H,M,Spirotrichea,Ciliophora,Sporadotrichida,Oxytrichidae,Oxytricha,JGI,97,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Heterotroph
