"","hit_id","query_id","hit_eval","hit_bitscore","hit_description","accn","Taxid","Species.name","Phylum.name","Group.name","Kingdom.name","Super.Group","M.Strategy","TORC2_Presence"
"1","XP_009528946.1","Mass_AKT_Aligned",3e-98,338.7,"hypothetical protein PHYSODRAFT_561119","GCF_000149755.1",67593,"Phytophthora sojae","Oomycota","downy mildews",NA,"Stramenopiles","Heterotroph","TORC2 Expected"
"2","XP_009514785.1","Mass_AKT_Aligned",1.2e-85,296.9,"hypothetical protein PHYSODRAFT_554026","GCF_000149755.1",67593,"Phytophthora sojae","Oomycota","downy mildews",NA,"Stramenopiles","Heterotroph","TORC2 Expected"
"3","XP_009515908.1","Mass_AKT_Aligned",1.4e-85,296.6,"hypothetical protein PHYSODRAFT_284310","GCF_000149755.1",67593,"Phytophthora sojae","Oomycota","downy mildews",NA,"Stramenopiles","Heterotroph","TORC2 Expected"
"4","XP_009538716.1","Mass_AKT_Aligned",2e-84,292.7,"hypothetical protein PHYSODRAFT_566362","GCF_000149755.1",67593,"Phytophthora sojae","Oomycota","downy mildews",NA,"Stramenopiles","Heterotroph","TORC2 Expected"
"5","XP_009520723.1","Mass_AKT_Aligned",5.1e-72,251.5,"hypothetical protein PHYSODRAFT_555263","GCF_000149755.1",67593,"Phytophthora sojae","Oomycota","downy mildews",NA,"Stramenopiles","Heterotroph","TORC2 Expected"
"6","XP_009521157.1","Mass_AKT_Aligned",5.6e-65,228.1,"hypothetical protein PHYSODRAFT_354099","GCF_000149755.1",67593,"Phytophthora sojae","Oomycota","downy mildews",NA,"Stramenopiles","Heterotroph","TORC2 Expected"
"7","XP_009522184.1","Mass_AKT_Aligned",6.8e-65,227.9,"hypothetical protein PHYSODRAFT_558276","GCF_000149755.1",67593,"Phytophthora sojae","Oomycota","downy mildews",NA,"Stramenopiles","Heterotroph","TORC2 Expected"
"8","XP_009525581.1","Mass_AKT_Aligned",1.2e-62,220.4,"hypothetical protein PHYSODRAFT_350990","GCF_000149755.1",67593,"Phytophthora sojae","Oomycota","downy mildews",NA,"Stramenopiles","Heterotroph","TORC2 Expected"
"9","XP_009523983.1","Mass_AKT_Aligned",7.8e-62,217.7,"hypothetical protein PHYSODRAFT_350723","GCF_000149755.1",67593,"Phytophthora sojae","Oomycota","downy mildews",NA,"Stramenopiles","Heterotroph","TORC2 Expected"
"10","XP_009534227.1","Mass_AKT_Aligned",2.7e-59,209.3,"hypothetical protein PHYSODRAFT_288412","GCF_000149755.1",67593,"Phytophthora sojae","Oomycota","downy mildews",NA,"Stramenopiles","Heterotroph","TORC2 Expected"
