"accn","bitscore","evalue","gapopen","hit_description","length","mismatch","name","pident","qend","qseqid","qstart","selected","send","shared name","Species name","sstart","Super.Group","Taxid","TORC2_Presence"
"GCA_051046955.1","805","7.539999999999999E-298","0","hypothetical protein CRYUN_Cryun09bG012710","405","0","XWS56920.1","100.0","405","XWS56920.1","1","true","405","XWS56920.1","NA","1","NA",,"NA"
"GCA_051046955.1","890","0.0","0","hypothetical protein CRYUN_Cryun40dG009160","445","0","XWS09520.1","100.0","445","XWS09520.1","1","true","445","XWS09520.1","NA","1","NA",,"NA"
"GCA_050990945.1","697","1.6699999999999999E-254","1","hypothetical protein REPUB_Repub13aG011560","391","35","XVF24298.1","90.8","390","XWS56920.1","1","true","391","XVF24298.1","NA","1","NA",,"NA"
"GCF_009914755.1","498","7.599999999999998E-182","0","RAC-gamma serine/threonine-protein kin","247","0","XP_054189666.1","100.0","247","XP_054189666.1","1","true","247","XP_054189666.1","Homo sapiens","1","Opisthokonta","9606","TORC2 Expected"
"GCF_000001405.40","498","7.599999999999998E-182","0","RAC-gamma serine/threonine-protein kin","247","0","XP_054184605.1","100.0","247","XP_054189666.1","1","true","247","XP_054184605.1","Homo sapiens","1","Opisthokonta","9606","TORC2 Expected"
"GCF_000001405.40","498","7.599999999999998E-182","0","RAC-gamma serine/threonine-protein kin","247","0","XP_024303706.1","100.0","247","XP_054189666.1","1","true","247","XP_024303706.1","Homo sapiens","1","Opisthokonta","9606","TORC2 Expected"
"GCF_009914755.1","472","1.01E-170","0","RAC-gamma serine/threonine-protein kin","235","2","XP_054189664.1","99.1","235","XP_054189666.1","1","true","235","XP_054189664.1","Homo sapiens","1","Opisthokonta","9606","TORC2 Expected"
"GCF_000001405.40","472","1.01E-170","0","RAC-gamma serine/threonine-protein kin","235","2","XP_054184603.1","99.1","235","XP_054189666.1","1","true","235","XP_054184603.1","Homo sapiens","1","Opisthokonta","9606","TORC2 Expected"
"GCF_000001405.40","472","1.01E-170","0","RAC-gamma serine/threonine-protein kin","235","2","XP_024302660.1","99.1","235","XP_054189666.1","1","true","235","XP_024302660.1","Homo sapiens","1","Opisthokonta","9606","TORC2 Expected"
"GCF_009914755.1","520","1.2699999999999999E-190","0","RAC-gamma serine/threonine-protein kin","249","0","XP_054189665.1","100.0","249","XP_054189665.1","1","true","249","XP_054189665.1","Homo sapiens","1","Opisthokonta","9606","TORC2 Expected"
"GCF_000001405.40","520","1.2699999999999999E-190","0","RAC-gamma serine/threonine-protein kin","249","0","XP_054184604.1","100.0","249","XP_054189665.1","1","true","249","XP_054184604.1","Homo sapiens","1","Opisthokonta","9606","TORC2 Expected"
"GCF_000001405.40","520","1.2699999999999999E-190","0","RAC-gamma serine/threonine-protein kin","249","0","XP_011542316.1","100.0","249","XP_054189665.1","1","true","249","XP_011542316.1","Homo sapiens","1","Opisthokonta","9606","TORC2 Expected"
"GCA_039639745.1","788","8.05E-292","0","Non-specific serine/threonine protein kina","394","0","XAR66049.1","100.0","394","XAR66049.1","1","true","394","XAR66049.1","NA","1","NA",,"NA"
"GCA_036885675.1","1089","0.0","0","hypothetical protein V8G54_036796 [Vigna m","558","0","WVY91282.1","100.0","558","WVY91282.1","1","true","558","WVY91282.1","Vigna mungo","1","Streptophyta","3915","No TORC2"
"GCA_028411795.1","830","2.3E-305","0","protein-serine kinase 1 [Euphorbia peplus]","455","0","WCJ36008.1","100.0","455","WCJ36008.1","1","true","455","WCJ36008.1","Euphorbia peplus","1","Streptophyta","38846","No TORC2"
"GCA_902459845.2","796","9.32E-292","0","RAC-beta serine/threonine protein kinase [","396","0","VWU50444.1","100.0","414","VWU52618.1","19","true","564","VWU50444.1","Hepatocystis sp. ex Piliocolobus tephrosceles","169","Alveolata","2600580","No TORC2"
"GCA_902459845.2","1682","0.0","0","cGMP-dependent protein kinase [Hepatocysti","860","0","VWU49858.1","100.0","860","VWU49858.1","1","true","860","VWU49858.1","Hepatocystis sp. ex Piliocolobus tephrosceles","1","Alveolata","2600580","No TORC2"
"GCA_900231445.1","805","6.21E-298","0","unnamed protein product [Triticum turgidum","407","0","VAI05953.1","100.0","407","VAI05953.1","1","true","407","VAI05953.1","Triticum turgidum","1","Streptophyta","4567","No TORC2"
"GCA_900231445.1","748","1.26E-275","0","unnamed protein product [Triticum turgidum","383","3","VAH90679.1","99.2","383","VAI05953.1","1","true","383","VAH90679.1","Triticum turgidum","1","Streptophyta","4567","No TORC2"
"GCA_900231445.1","759","1.3499999999999997E-279","1","unnamed protein product [Triticum turgidum","396","8","VAH90678.1","97.7","395","VAI05953.1","1","true","396","VAH90678.1","Triticum turgidum","1","Streptophyta","4567","No TORC2"
"GCA_007990485.1","912","0.0","0","hypothetical protein ES332_A06G215500v1 [G","457","0","TYI24178.1","100.0","457","TYI24178.1","1","true","457","TYI24178.1","Gossypium tomentosum","1","Streptophyta","34277","No TORC2"
"GCA_006369765.1","1129","0.0","0","hypothetical protein FGO68_gene10234 [Halt","553","0","TNV82980.1","100.0","553","TNV82980.1","1","true","553","TNV82980.1","Halteria grandinella","1","NA","5974","NA"
"GCA_006369765.1","910","0.0","0","hypothetical protein FGO68_gene10800 [Halt","459","0","TNV79189.1","100.0","459","TNV79189.1","1","true","459","TNV79189.1","Halteria grandinella","1","NA","5974","NA"
"GCA_004359215.2","1751","0.0","0","hypothetical protein CCR75_007296 [Bremia","879","0","TDH71201.1","100.0","879","TDH71201.1","1","true","879","TDH71201.1","Bremia lactucae","1","Stramenopiles","4779","TORC2 Expected"
"GCA_004359215.2","1403","0.0","0","hypothetical protein CCR75_002361 [Bremia","703","0","TDH69833.1","100.0","703","TDH69833.1","1","true","703","TDH69833.1","Bremia lactucae","1","Stramenopiles","4779","TORC2 Expected"
"GCA_004359215.2","1043","0.0","0","hypothetical protein CCR75_004766 [Bremia","511","0","TDH68249.1","100.0","511","TDH68249.1","1","true","511","TDH68249.1","Bremia lactucae","1","Stramenopiles","4779","TORC2 Expected"
"GCA_900090035.2","1699","0.0","0","cGMP-dependent protein kinase, putative [P","858","0","SCP06065.1","100.0","858","SCP06065.1","1","true","858","SCP06065.1","Plasmodium ovale","1","Alveolata","36330","No TORC2"
"GCA_001712635.2","2765","0.0","0","hypothetical protein BBJ28_00013467 [Notho","1506","0","RLN97840.1","100.0","1506","RLN97840.1","1","true","1506","RLN97840.1","Nothophytophthora sp. Chile5","1","Stramenopiles","2483409","TORC2 Expected"
"GCA_001712635.2","1518","0.0","0","hypothetical protein BBJ28_00009011 [Notho","774","0","RLN74253.1","100.0","774","RLN74253.1","1","true","774","RLN74253.1","Nothophytophthora sp. Chile5","1","Stramenopiles","2483409","TORC2 Expected"
"GCA_003546525.1","698","2.0E-257","0","hypothetical protein DYB32_001993 [Aphanom","352","0","RHY33012.1","100.0","352","RHY33012.1","1","true","352","RHY33012.1","Aphanomyces invadans","1","Stramenopiles","157072","TORC2 Expected"
"GCA_900332095.2","894","0.0","0","unnamed protein product [Cuscuta campestri","443","0","VFQ95687.1","100.0","443","VFQ95687.1","1","true","443","VFQ95687.1","Cuscuta campestris","1","Streptophyta","132261","No TORC2"
"GCA_004170445.1","780","3.81E-288","0","hypothetical protein Ahy_B04g071533 isofor","399","0","RYR14828.1","100.0","399","RYR14828.1","1","true","399","RYR14828.1","Arachis hypogaea","1","Streptophyta","3818","No TORC2"
"GCA_003713155.1","757","2.7399999999999995E-279","1","Serine/threonine-protein kinase [Arachis h","399","9","QHN81850.1","97.2","399","RYR14828.1","1","true","397","QHN81850.1","Arachis hypogaea","1","Streptophyta","3818","No TORC2"
"GCA_038396805.1","2812","0.0","0","cGMP-dependent protein kinase [Chloropicon","1472","0","WZN66808.1","100.0","1472","WZN66808.1","1","true","1472","WZN66808.1","Chloropicon roscoffensis","1","Chlorophyta","1461544","No TORC2"
"GCA_023205875.1","2017","0.0","12","cGMP-dependent protein kinase [Chloropicon","1460","332","UPR04098.1","72.2","1462","WZN66808.1","40","true","1463","UPR04098.1","Chloropicon primus","41","Chlorophyta","1764295","No TORC2"
"GCA_007859695.1","2016","0.0","12","cGMP-dependent protein kinase [Chloropicon","1460","333","QDZ24888.1","72.1","1462","WZN66808.1","40","true","1463","QDZ24888.1","Chloropicon primus","41","Chlorophyta","1764295","No TORC2"
"GCA_038396805.1","957","0.0","19","cGMP-dependent protein kinase [Chloropicon","1423","741","WZN66355.1","41.3","1450","WZN66808.1","41","true","1341","WZN66355.1","Chloropicon roscoffensis","1","Chlorophyta","1461544","No TORC2"
"GCA_023205875.1","936","1.3E-305","17","cGMP-dependent protein kinase [Chloropicon","1387","706","UPR02127.1","42.8","1450","WZN66808.1","73","true","1346","UPR02127.1","Chloropicon primus","38","Chlorophyta","1764295","No TORC2"
"GCA_007859695.1","936","1.3E-305","17","cGMP-dependent protein kinase [Chloropicon","1387","706","QDZ22903.1","42.8","1450","WZN66808.1","73","true","1346","QDZ22903.1","Chloropicon primus","38","Chlorophyta","1764295","No TORC2"
"GCA_038396805.1","904","7.390000000000001E-305","21","cGMP-dependent protein kinase [Chloropicon","1403","762","WZN64303.1","38.7","1448","WZN66808.1","64","true","1379","WZN64303.1","Chloropicon roscoffensis","57","Chlorophyta","1461544","No TORC2"
"GCA_023205875.1","902","3.4E-305","20","cGMP-dependent protein kinase [Chloropicon","1403","764","UPQ99828.1","38.8","1448","WZN66808.1","64","true","1384","UPQ99828.1","Chloropicon primus","59","Chlorophyta","1764295","No TORC2"
"GCA_007859695.1","902","3.4E-305","20","cGMP-dependent protein kinase [Chloropicon","1403","764","QDZ20617.1","38.8","1448","WZN66808.1","64","true","1384","QDZ20617.1","Chloropicon primus","59","Chlorophyta","1764295","No TORC2"
"GCA_007990485.1","975","0.0","0","hypothetical protein ES332_A05G305300v1 [G","489","0","TYI29277.1","100.0","489","TYJ36275.1","1","true","489","TYI29277.1","Gossypium tomentosum","1","Streptophyta","34277","No TORC2"
"GCA_003112345.1","732","2.0E-264","0","protein-serine kinase 1 [Artemisia annua]","370","0","PWA27171.1","100.0","370","PWA53595.1","1","true","611","PWA27171.1","Artemisia annua","242","Streptophyta","35608","No TORC2"
"GCA_002994745.2","1515","0.0","0","putative protein kinase AGC-Pl family [Ros","746","0","PRQ26060.1","100.0","746","PRQ26060.1","1","true","746","PRQ26060.1","Rosa chinensis","1","Streptophyta","74649","No TORC2"
"GCA_002926015.1","876","0.0","0","hypothetical protein GOBAR_DD11356 [Gossyp","436","0","PPD91708.1","100.0","436","PPD91708.1","1","true","436","PPD91708.1","Gossypium barbadense","1","Streptophyta","3634","No TORC2"
"GCA_002914845.1","819","2.3599999999999997E-303","0","Tyrosine-protein kinase [Trema orientale]","409","0","PON48611.1","100.0","409","PON48611.1","1","true","409","PON48611.1","Trema orientale","1","Streptophyta","63057","No TORC2"
"GCA_002911725.1","1511","0.0","0","AGC protein Kinase [Phytophthora palmivora","764","0","POM62423.1","100.0","764","POM62423.1","1","true","764","POM62423.1","Phytophthora palmivora","1","Stramenopiles","4796","TORC2 Expected"
"GCA_002215365.1","1543","0.0","0","CGMP-dependent protein kinase [Phytophthor","789","0","OWZ21543.1","100.0","789","OWZ21543.1","1","true","789","OWZ21543.1","Phytophthora megakarya","1","Stramenopiles","4795","No TORC2"
"GCA_001974825.2","665","1.5600000000000001E-245","0","hypothetical protein COLO4_07632 [Corchoru","325","0","OMP07094.1","100.0","325","OMP07094.1","1","true","325","OMP07094.1","Corchorus olitorius","1","Streptophyta","93759","No TORC2"
"GCA_051046955.1","872","0.0","0","hypothetical protein CRYUN_Cryun05aG013020","473","38","XWS65629.1","92.0","486","XWS74473.1","14","true","473","XWS65629.1","NA","1","NA",,"NA"
"GCA_001970955.1","1093","0.0","0","hypothetical protein SteCoe_5976 [Stentor","551","0","OMJ91486.1","100.0","551","OMJ91486.1","1","true","551","OMJ91486.1","Stentor coeruleus","1","NA","5963","NA"
"GCA_001970955.1","969","0.0","0","hypothetical protein SteCoe_5103 [Stentor","486","0","OMJ92225.1","100.0","486","OMJ92225.1","1","true","486","OMJ92225.1","Stentor coeruleus","1","NA","5963","NA"
"GCA_001970955.1","940","0.0","0","hypothetical protein SteCoe_8095 [Stentor","486","18","OMJ89730.1","96.3","486","OMJ92225.1","1","true","486","OMJ89730.1","Stentor coeruleus","1","NA","5963","NA"
"GCA_001970955.1","1343","0.0","2","hypothetical protein SteCoe_6701 [Stentor","895","224","OMJ90834.1","74.5","894","OMJ96068.1","1","true","892","OMJ90834.1","Stentor coeruleus","1","NA","5963","NA"
