tar,tar_acc,query,hmm_acc,full_e,full_score,full_bias,dom_e,dom_score,dom_bias,acc,Organism Name,Organism Taxonomic ID
EEY53149.1,-,Pkinase,PF00069.31,2.6e-70,236.8,0.0,3.5999999999999995e-70,236.3,0.0,GCA_000142945.1,Phytophthora infestans T30-4,403677
EEY56190.1,-,Pkinase,PF00069.31,6.4e-58,196.2,0.0,9.3e-58,195.6,0.0,GCA_000142945.1,Phytophthora infestans T30-4,403677
EGZ25435.1,-,Pkinase,PF00069.31,2.1e-70,237.7,0.0,2.8e-70,237.2,0.0,GCA_000149755.2,Phytophthora sojae,67593
EGZ10650.1,-,Pkinase,PF00069.31,1.4e-58,198.9,0.0,2e-58,198.4,0.0,GCA_000149755.2,Phytophthora sojae,67593
ETN08920.1,-,Pkinase,PF00069.31,1.3e-70,238.4,0.0,1.7999999999999998e-70,238.0,0.0,GCA_000247585.2,Phytophthora nicotianae INRA-310,761204
ETN08918.1,-,Pkinase,PF00069.31,1.3e-70,238.4,0.0,1.9e-70,237.9,0.0,GCA_000247585.2,Phytophthora nicotianae INRA-310,761204
ETN08919.1,-,Pkinase,PF00069.31,1.3e-70,238.4,0.0,1.9e-70,237.9,0.0,GCA_000247585.2,Phytophthora nicotianae INRA-310,761204
ETN15878.1,-,Pkinase,PF00069.31,8.3e-58,196.4,0.0,1.2e-57,196.0,0.0,GCA_000247585.2,Phytophthora nicotianae INRA-310,761204
KAF4320340.1,-,Pkinase,PF00069.31,4.5e-59,199.4,0.0,6.3e-59,198.9,0.0,GCA_000333075.3,Phytophthora kernoviae 00238/432,1284355
ETI47031.1,-,Pkinase,PF00069.31,1.3e-70,238.4,0.0,1.7999999999999998e-70,238.0,0.0,GCA_000365505.1,Phytophthora nicotianae P1569,1317065
ETI47029.1,-,Pkinase,PF00069.31,1.4e-70,238.4,0.0,1.9e-70,237.9,0.0,GCA_000365505.1,Phytophthora nicotianae P1569,1317065
ETI47030.1,-,Pkinase,PF00069.31,1.4e-70,238.4,0.0,1.9e-70,237.9,0.0,GCA_000365505.1,Phytophthora nicotianae P1569,1317065
ETI31649.1,-,Pkinase,PF00069.31,8.400000000000001e-58,196.4,0.0,1.2e-57,196.0,0.0,GCA_000365505.1,Phytophthora nicotianae P1569,1317065
ETO75755.1,-,Pkinase,PF00069.31,1.3e-70,238.4,0.0,1.7999999999999998e-70,238.0,0.0,GCA_000365525.1,Phytophthora nicotianae P1976,1317066
ETO75753.1,-,Pkinase,PF00069.31,1.4e-70,238.4,0.0,1.9e-70,237.9,0.0,GCA_000365525.1,Phytophthora nicotianae P1976,1317066
ETO75754.1,-,Pkinase,PF00069.31,1.4e-70,238.4,0.0,1.9e-70,237.9,0.0,GCA_000365525.1,Phytophthora nicotianae P1976,1317066
