tar,tar_acc,query,hmm_acc,full_e,full_score,full_bias,dom_e,dom_score,dom_bias,acc,SuperGroup
BAM82434.1,-,RPS6_kin_2,PIRSF000606,1.6e-117,391.8,0,2.1999999999999997e-117,391.4,0,GCA_000091205.1,Rhodophyta
BAM83289.1,-,RPS6_kin_2,PIRSF000606,1.2e-86,289.8,0.1,4.3e-50,168.9,0.1,GCA_000091205.1,Rhodophyta
BAM80823.1,-,RPS6_kin_2,PIRSF000606,1.3e-80,269.8,0,1.1e-50,170.8,0,GCA_000091205.1,Rhodophyta
BAM79433.1,-,RPS6_kin_2,PIRSF000606,2.1e-79,265.8,0,2.7e-79,265.4,0,GCA_000091205.1,Rhodophyta
BAM81907.1,-,RPS6_kin_2,PIRSF000606,8.4e-79,263.8,0.5,2e-44,150.1,0.4,GCA_000091205.1,Rhodophyta
BAM83268.1,-,RPS6_kin_2,PIRSF000606,8.6e-79,263.8,0.1,5.1e-39,132.2,0,GCA_000091205.1,Rhodophyta
BAM79488.1,-,RPS6_kin_2,PIRSF000606,2.3e-66,222.7,0,2.9e-66,222.3,0,GCA_000091205.1,Rhodophyta
BAM80820.1,-,RPS6_kin_2,PIRSF000606,2e-65,219.5,0.1,3.8000000000000005e-28,96.3,0,GCA_000091205.1,Rhodophyta
BAM81974.1,-,RPS6_kin_2,PIRSF000606,1.1999999999999999e-57,193.8,0,1.7999999999999998e-57,193.3,0,GCA_000091205.1,Rhodophyta
BAM81560.1,-,RPS6_kin_2,PIRSF000606,1.9e-55,186.6,0,3.8999999999999995e-55,185.5,0,GCA_000091205.1,Rhodophyta
BAM79503.1,-,RPS6_kin_2,PIRSF000606,7.4e-55,184.6,0,9.6e-55,184.2,0,GCA_000091205.1,Rhodophyta
BAM81467.1,-,RPS6_kin_2,PIRSF000606,5.1e-52,175.2,0,3e-35,119.8,0,GCA_000091205.1,Rhodophyta
BAM79361.1,-,RPS6_kin_2,PIRSF000606,2.1e-51,173.2,0,2.8e-51,172.8,0,GCA_000091205.1,Rhodophyta
BAM83288.1,-,RPS6_kin_2,PIRSF000606,1.8999999999999998e-44,150.2,0,2.3999999999999996e-44,149.8,0,GCA_000091205.1,Rhodophyta
BAM83178.1,-,RPS6_kin_2,PIRSF000606,1.1999999999999998e-38,131,0,1.7999999999999998e-38,130.4,0,GCA_000091205.1,Rhodophyta
BAM80659.1,-,RPS6_kin_2,PIRSF000606,1.1e-36,124.5,0,4.4e-36,122.5,0,GCA_000091205.1,Rhodophyta
BAM79339.1,-,RPS6_kin_2,PIRSF000606,2.6999999999999997e-36,123.2,0,2.7e-32,110,0,GCA_000091205.1,Rhodophyta
BAM83243.1,-,RPS6_kin_2,PIRSF000606,1.1999999999999999e-32,111.2,0,1.7e-32,110.6,0,GCA_000091205.1,Rhodophyta
BAM82954.1,-,RPS6_kin_2,PIRSF000606,1.3e-31,107.7,0,2.4999999999999998e-31,106.8,0,GCA_000091205.1,Rhodophyta
BAM82092.1,-,RPS6_kin_2,PIRSF000606,1.9e-31,107.2,0,5.1e-27,92.5,0,GCA_000091205.1,Rhodophyta
BAM82926.1,-,RPS6_kin_2,PIRSF000606,2.8999999999999996e-31,106.6,0,9.6e-31,104.9,0,GCA_000091205.1,Rhodophyta
BAM82104.1,-,RPS6_kin_2,PIRSF000606,4e-31,106.1,0,5.9000000000000005e-30,102.3,0,GCA_000091205.1,Rhodophyta
BAM81249.1,-,RPS6_kin_2,PIRSF000606,3.1000000000000003e-30,103.2,0,3e-27,93.3,0,GCA_000091205.1,Rhodophyta
BAM79380.1,-,RPS6_kin_2,PIRSF000606,3.2e-30,103.1,0,4.4000000000000004e-30,102.7,0,GCA_000091205.1,Rhodophyta
BAM79623.1,-,RPS6_kin_2,PIRSF000606,3.6e-30,103,0,4.7000000000000004e-30,102.6,0,GCA_000091205.1,Rhodophyta
BAM81970.1,-,RPS6_kin_2,PIRSF000606,5.1000000000000004e-30,102.5,0,6.5e-27,92.2,0,GCA_000091205.1,Rhodophyta
BAM82886.1,-,RPS6_kin_2,PIRSF000606,7.8e-30,101.9,0,1.6000000000000001e-28,97.5,0,GCA_000091205.1,Rhodophyta
BAM82073.1,-,RPS6_kin_2,PIRSF000606,2.1e-29,100.4,0,2.7999999999999997e-29,100,0,GCA_000091205.1,Rhodophyta
BAM81438.1,-,RPS6_kin_2,PIRSF000606,3.4e-29,99.8,0,5.5e-29,99,0,GCA_000091205.1,Rhodophyta
BAM82358.1,-,RPS6_kin_2,PIRSF000606,5e-28,95.9,0,5.9e-28,95.6,0,GCA_000091205.1,Rhodophyta
BAM79802.1,-,RPS6_kin_2,PIRSF000606,6.200000000000001e-28,95.6,0,2.6999999999999997e-25,86.9,0,GCA_000091205.1,Rhodophyta
BAM81535.1,-,RPS6_kin_2,PIRSF000606,1.7000000000000002e-27,94.1,0,2.5e-27,93.6,0,GCA_000091205.1,Rhodophyta
BAM81769.1,-,RPS6_kin_2,PIRSF000606,2.9e-27,93.3,0,2.5e-26,90.3,0,GCA_000091205.1,Rhodophyta
BAM79110.1,-,RPS6_kin_2,PIRSF000606,5.1e-27,92.5,0,1.5e-26,91,0,GCA_000091205.1,Rhodophyta
BAM82471.1,-,RPS6_kin_2,PIRSF000606,2.9e-26,90,0,2.9e-25,86.7,0,GCA_000091205.1,Rhodophyta
BAM81612.1,-,RPS6_kin_2,PIRSF000606,5.1e-26,89.3,0,5.5e-23,79.2,0,GCA_000091205.1,Rhodophyta
BAM78916.1,-,RPS6_kin_2,PIRSF000606,1.7e-25,87.5,0,3.1e-25,86.6,0,GCA_000091205.1,Rhodophyta
BAM78880.1,-,RPS6_kin_2,PIRSF000606,2.1e-25,87.2,0,3.9e-25,86.3,0,GCA_000091205.1,Rhodophyta
BAM82101.1,-,RPS6_kin_2,PIRSF000606,1.2999999999999998e-24,84.6,0,2.4e-24,83.7,0,GCA_000091205.1,Rhodophyta
BAM81568.1,-,RPS6_kin_2,PIRSF000606,2.2999999999999997e-24,83.8,0.1,3.4e-14,50.1,0,GCA_000091205.1,Rhodophyta
BAM79752.1,-,RPS6_kin_2,PIRSF000606,5.1e-23,79.3,0.1,1.2e-21,74.8,0,GCA_000091205.1,Rhodophyta
BAM82428.1,-,RPS6_kin_2,PIRSF000606,2.6e-22,77,0,3.6000000000000003e-22,76.5,0,GCA_000091205.1,Rhodophyta
BAM82282.1,-,RPS6_kin_2,PIRSF000606,5.600000000000001e-22,75.9,0,8.300000000000001e-22,75.3,0,GCA_000091205.1,Rhodophyta
BAM83017.1,-,RPS6_kin_2,PIRSF000606,3e-21,73.5,0,4.2e-21,73,0,GCA_000091205.1,Rhodophyta
BAM78802.1,-,RPS6_kin_2,PIRSF000606,3.8e-21,73.1,0,5.2e-13,46.2,0,GCA_000091205.1,Rhodophyta
BAM79484.1,-,RPS6_kin_2,PIRSF000606,2e-19,67.5,0,2.6e-11,40.6,0,GCA_000091205.1,Rhodophyta
BAM80549.1,-,RPS6_kin_2,PIRSF000606,2.2e-18,64,0,7.5e-9,32.5,0,GCA_000091205.1,Rhodophyta
BAM81688.1,-,RPS6_kin_2,PIRSF000606,1.5e-17,61.3,0,5.6e-17,59.3,0,GCA_000091205.1,Rhodophyta
BAM83497.1,-,RPS6_kin_2,PIRSF000606,5.8e-15,52.7,0.1,3.1e-14,50.3,0,GCA_000091205.1,Rhodophyta
BAM81741.1,-,RPS6_kin_2,PIRSF000606,1.2e-14,51.6,0,1.6e-14,51.2,0,GCA_000091205.1,Rhodophyta
BAM81235.1,-,RPS6_kin_2,PIRSF000606,9e-13,45.4,0,4.1e-11,39.9,0,GCA_000091205.1,Rhodophyta
BAM81145.1,-,RPS6_kin_2,PIRSF000606,4.3e-12,43.2,0,4.3e-9,33.3,0,GCA_000091205.1,Rhodophyta
BAM82950.1,-,RPS6_kin_2,PIRSF000606,5.7e-12,42.8,0,8.1e-12,42.3,0,GCA_000091205.1,Rhodophyta
BAM79627.1,-,RPS6_kin_2,PIRSF000606,1.7e-11,41.2,0.1,2.1e-6,24.4,0,GCA_000091205.1,Rhodophyta
BAM83410.1,-,RPS6_kin_2,PIRSF000606,7.4e-10,35.8,0,1e-9,35.4,0,GCA_000091205.1,Rhodophyta
BAM82772.1,-,RPS6_kin_2,PIRSF000606,7.2e-8,29.2,0,9.9e-8,28.8,0,GCA_000091205.1,Rhodophyta
BAM79847.1,-,RPS6_kin_2,PIRSF000606,6.1e-7,26.2,0.3,0.13,8.5,0.1,GCA_000091205.1,Rhodophyta
BAM80998.1,-,RPS6_kin_2,PIRSF000606,2.6e-6,24.1,0,3.1e-4,17.2,0,GCA_000091205.1,Rhodophyta
BAM83013.1,-,RPS6_kin_2,PIRSF000606,1.6e-5,21.4,0,0.0077,12.6,0,GCA_000091205.1,Rhodophyta
BAM79474.1,-,RPS6_kin_2,PIRSF000606,3.2e-5,20.5,0,4e-4,16.8,0,GCA_000091205.1,Rhodophyta
EME31393.1,-,RPS6_kin_2,PIRSF000606,3.6999999999999997e-121,404.4,0,4.7e-121,404.1,0,GCA_000341285.1,Rhodophyta
EME28772.1,-,RPS6_kin_2,PIRSF000606,3.1999999999999996e-88,295.5,0.1,5.299999999999999e-53,179.1,0.4,GCA_000341285.1,Rhodophyta
EME31078.1,-,RPS6_kin_2,PIRSF000606,2.5e-87,292.6,0.1,4.5e-53,179.3,0.1,GCA_000341285.1,Rhodophyta
EME31194.1,-,RPS6_kin_2,PIRSF000606,1.9e-83,279.7,0,2.5999999999999997e-83,279.3,0,GCA_000341285.1,Rhodophyta
EME31954.1,-,RPS6_kin_2,PIRSF000606,4.8e-81,271.8,4.3,1.9999999999999998e-50,170.5,3.7,GCA_000341285.1,Rhodophyta
EME27438.1,-,RPS6_kin_2,PIRSF000606,3.9e-79,265.5,0,5e-79,265.1,0,GCA_000341285.1,Rhodophyta
EME31886.1,-,RPS6_kin_2,PIRSF000606,3.9e-78,262.2,0.3,1e-77,260.8,0,GCA_000341285.1,Rhodophyta
EME31321.1,-,RPS6_kin_2,PIRSF000606,3.1e-72,242.6,0.1,4.8e-45,152.7,0,GCA_000341285.1,Rhodophyta
EME30207.1,-,RPS6_kin_2,PIRSF000606,4.2e-71,238.9,0.3,1.4e-69,233.9,0,GCA_000341285.1,Rhodophyta
EME30202.1,-,RPS6_kin_2,PIRSF000606,7.1e-67,224.9,0.2,8.7e-67,224.6,0.2,GCA_000341285.1,Rhodophyta
EME30208.1,-,RPS6_kin_2,PIRSF000606,2.5e-64,216.5,0.5,1.0999999999999999e-62,211.1,0.1,GCA_000341285.1,Rhodophyta
EME30330.1,-,RPS6_kin_2,PIRSF000606,1.9999999999999999e-63,213.6,0.1,2.6e-63,213.1,0.1,GCA_000341285.1,Rhodophyta
EME27904.1,-,RPS6_kin_2,PIRSF000606,6.1e-63,211.9,0.1,2.5e-50,170.2,0,GCA_000341285.1,Rhodophyta
EME27903.1,-,RPS6_kin_2,PIRSF000606,7.5e-63,211.6,0.1,3.5e-50,169.7,0,GCA_000341285.1,Rhodophyta
EME32644.1,-,RPS6_kin_2,PIRSF000606,4.4e-61,205.8,0.1,6.1e-61,205.3,0.1,GCA_000341285.1,Rhodophyta
EME28996.1,-,RPS6_kin_2,PIRSF000606,4.8999999999999996e-58,195.7,0,5.5999999999999994e-58,195.5,0,GCA_000341285.1,Rhodophyta
EME28995.1,-,RPS6_kin_2,PIRSF000606,8.799999999999999e-58,194.9,0,1.0999999999999999e-57,194.6,0,GCA_000341285.1,Rhodophyta
EME29628.1,-,RPS6_kin_2,PIRSF000606,9.5e-58,194.7,0,1.1999999999999999e-57,194.4,0,GCA_000341285.1,Rhodophyta
EME30582.1,-,RPS6_kin_2,PIRSF000606,1.5999999999999998e-57,194,0,2.3999999999999998e-57,193.4,0,GCA_000341285.1,Rhodophyta
EME31940.1,-,RPS6_kin_2,PIRSF000606,1.4e-54,184.3,0,1.8e-54,183.9,0,GCA_000341285.1,Rhodophyta
EME28170.1,-,RPS6_kin_2,PIRSF000606,1.2e-52,177.9,1.3,1.6e-52,177.5,1.3,GCA_000341285.1,Rhodophyta
EME30425.1,-,RPS6_kin_2,PIRSF000606,1.9e-49,167.3,0,4.5999999999999995e-48,162.7,0,GCA_000341285.1,Rhodophyta
EME28088.1,-,RPS6_kin_2,PIRSF000606,4.2e-46,156.2,0,6.9e-46,155.5,0,GCA_000341285.1,Rhodophyta
EME31892.1,-,RPS6_kin_2,PIRSF000606,5.699999999999999e-44,149.2,0,1.8e-43,147.5,0,GCA_000341285.1,Rhodophyta
EME30987.1,-,RPS6_kin_2,PIRSF000606,4.5e-42,142.9,0,5.2e-41,139.4,0,GCA_000341285.1,Rhodophyta
EME27492.1,-,RPS6_kin_2,PIRSF000606,8.4e-40,135.4,0,5.1e-32,109.6,0,GCA_000341285.1,Rhodophyta
EME26468.1,-,RPS6_kin_2,PIRSF000606,6.4e-38,129.2,0,1.5e-37,127.9,0,GCA_000341285.1,Rhodophyta
EME26469.1,-,RPS6_kin_2,PIRSF000606,6.4e-38,129.2,0,1.5e-37,127.9,0,GCA_000341285.1,Rhodophyta
EME29319.1,-,RPS6_kin_2,PIRSF000606,7.9e-37,125.6,0,1.8999999999999998e-35,121,0,GCA_000341285.1,Rhodophyta
EME29572.1,-,RPS6_kin_2,PIRSF000606,1.6999999999999998e-36,124.5,0,1.5e-35,121.4,0,GCA_000341285.1,Rhodophyta
EME27818.1,-,RPS6_kin_2,PIRSF000606,2.6e-35,120.5,0,5.799999999999999e-31,106.2,0,GCA_000341285.1,Rhodophyta
EME29357.1,-,RPS6_kin_2,PIRSF000606,4.899999999999999e-35,119.6,0,3.3999999999999997e-31,106.9,0,GCA_000341285.1,Rhodophyta
EME29653.1,-,RPS6_kin_2,PIRSF000606,5.6e-35,119.4,0.3,1.1e-34,118.4,0,GCA_000341285.1,Rhodophyta
EME32826.1,-,RPS6_kin_2,PIRSF000606,7.5e-35,119,0.1,1.6e-33,114.6,0.1,GCA_000341285.1,Rhodophyta
EME32422.1,-,RPS6_kin_2,PIRSF000606,5.1e-34,116.3,0,6e-32,109.4,0,GCA_000341285.1,Rhodophyta
EME32423.1,-,RPS6_kin_2,PIRSF000606,5.1e-34,116.3,0,6e-32,109.4,0,GCA_000341285.1,Rhodophyta
EME29549.1,-,RPS6_kin_2,PIRSF000606,5.700000000000001e-34,116.1,0,1.3000000000000002e-28,98.4,0,GCA_000341285.1,Rhodophyta
EME27063.1,-,RPS6_kin_2,PIRSF000606,8.5e-33,112.2,0,1.5999999999999998e-32,111.3,0,GCA_000341285.1,Rhodophyta
EME28234.1,-,RPS6_kin_2,PIRSF000606,2.1e-32,110.9,0,2.5e-28,97.4,0,GCA_000341285.1,Rhodophyta
EME31890.1,-,RPS6_kin_2,PIRSF000606,3e-32,110.4,0.1,4.9e-32,109.7,0.1,GCA_000341285.1,Rhodophyta
EME27085.1,-,RPS6_kin_2,PIRSF000606,4.2e-32,109.9,0,9.7e-31,105.4,0,GCA_000341285.1,Rhodophyta
EME26860.1,-,RPS6_kin_2,PIRSF000606,5.6e-32,109.5,0.7,2e-31,107.7,0,GCA_000341285.1,Rhodophyta
EME28403.1,-,RPS6_kin_2,PIRSF000606,3.3e-31,107,0,7.6e-31,105.8,0,GCA_000341285.1,Rhodophyta
EME26414.1,-,RPS6_kin_2,PIRSF000606,6.3999999999999995e-31,106,0.2,2.5e-28,97.4,0.1,GCA_000341285.1,Rhodophyta
EME26074.1,-,RPS6_kin_2,PIRSF000606,3.9e-30,103.4,0,5e-30,103.1,0,GCA_000341285.1,Rhodophyta
EME30920.1,-,RPS6_kin_2,PIRSF000606,4.6000000000000004e-30,103.2,0,2.5e-29,100.8,0,GCA_000341285.1,Rhodophyta
EME29550.1,-,RPS6_kin_2,PIRSF000606,1.3999999999999998e-29,101.6,0.1,1.2e-11,42.3,0,GCA_000341285.1,Rhodophyta
EME27565.1,-,RPS6_kin_2,PIRSF000606,1.8e-29,101.2,0,7.6e-27,92.6,0,GCA_000341285.1,Rhodophyta
