tar,tar_acc,query,hmm_acc,full_e,full_score,full_bias,dom_e,dom_score,dom_bias,acc,SuperGroup
EAN77055.1,-,RPS6_kin_2,PIRSF000606,5e-95,318.3,0.1,6e-95,318,0.1,GCA_000002445.1,Discoba
EAN77049.1,-,RPS6_kin_2,PIRSF000606,3.4e-93,312.3,0.1,4.0000000000000005e-93,312,0.1,GCA_000002445.1,Discoba
EAN78675.1,-,RPS6_kin_2,PIRSF000606,9.5e-93,310.8,0,1.2e-92,310.4,0,GCA_000002445.1,Discoba
AAZ11787.1,-,RPS6_kin_2,PIRSF000606,1e-92,310.7,0,1.3000000000000002e-92,310.4,0,GCA_000002445.1,Discoba
EAN79879.1,-,RPS6_kin_2,PIRSF000606,8.2e-85,284.5,0,1.1e-84,284.1,0,GCA_000002445.1,Discoba
AAZ10279.1,-,RPS6_kin_2,PIRSF000606,1.5e-84,283.7,0.1,1.9999999999999998e-84,283.3,0.1,GCA_000002445.1,Discoba
AAZ12641.1,-,RPS6_kin_2,PIRSF000606,1.8e-72,243.7,0,1.4e-47,161.4,0,GCA_000002445.1,Discoba
AAZ12858.1,-,RPS6_kin_2,PIRSF000606,9.500000000000001e-71,238,0,1.1e-70,237.8,0,GCA_000002445.1,Discoba
AAZ10968.1,-,RPS6_kin_2,PIRSF000606,9.999999999999999e-69,231.3,0,1.4999999999999998e-68,230.7,0,GCA_000002445.1,Discoba
EAN78721.1,-,RPS6_kin_2,PIRSF000606,2.6e-65,220,0,3.4000000000000003e-65,219.6,0,GCA_000002445.1,Discoba
AAZ12686.1,-,RPS6_kin_2,PIRSF000606,4.4e-63,212.7,0,5.9e-63,212.2,0,GCA_000002445.1,Discoba
EAN77913.1,-,RPS6_kin_2,PIRSF000606,1e-62,211.5,0.5,2.3e-40,137.6,0.1,GCA_000002445.1,Discoba
AAZ10489.1,-,RPS6_kin_2,PIRSF000606,2.4e-59,200.3,0,3.4e-59,199.8,0,GCA_000002445.1,Discoba
EAN78720.1,-,RPS6_kin_2,PIRSF000606,6.399999999999999e-57,192.3,0,8.4e-57,191.9,0,GCA_000002445.1,Discoba
EAN77948.1,-,RPS6_kin_2,PIRSF000606,3.4e-55,186.6,0,5e-55,186,0,GCA_000002445.1,Discoba
EAN76563.1,-,RPS6_kin_2,PIRSF000606,3.8e-54,183.1,0,8.4999999999999993e-36,122.4,0,GCA_000002445.1,Discoba
EAN79784.1,-,RPS6_kin_2,PIRSF000606,1.5e-51,174.5,0,1.9e-51,174.2,0,GCA_000002445.1,Discoba
AAZ12339.1,-,RPS6_kin_2,PIRSF000606,5e-50,169.5,0,6.2e-50,169.2,0,GCA_000002445.1,Discoba
AAZ10303.1,-,RPS6_kin_2,PIRSF000606,8.4e-50,168.7,0,1.4e-27,95.3,0,GCA_000002445.1,Discoba
AAZ11049.1,-,RPS6_kin_2,PIRSF000606,9.3e-49,165.3,0,5.0999999999999995e-48,162.8,0,GCA_000002445.1,Discoba
AAZ12068.1,-,RPS6_kin_2,PIRSF000606,2.8e-48,163.7,0,4e-48,163.2,0,GCA_000002445.1,Discoba
EAN77810.1,-,RPS6_kin_2,PIRSF000606,3.8999999999999997e-48,163.3,0,5.799999999999999e-48,162.7,0,GCA_000002445.1,Discoba
AAQ15640.1,-,RPS6_kin_2,PIRSF000606,4.7e-48,163,0,6.499999999999999e-48,162.5,0,GCA_000002445.1,Discoba
AAQ15981.1,-,RPS6_kin_2,PIRSF000606,6.9e-47,159.1,0,8.099999999999999e-47,158.9,0,GCA_000002445.1,Discoba
EAN79411.1,-,RPS6_kin_2,PIRSF000606,4.6e-46,156.4,0.1,7.1e-46,155.8,0.1,GCA_000002445.1,Discoba
AAZ10425.1,-,RPS6_kin_2,PIRSF000606,6.8e-46,155.8,0,8.7e-46,155.5,0,GCA_000002445.1,Discoba
AAZ12695.1,-,RPS6_kin_2,PIRSF000606,7.9e-46,155.6,0,1.6e-45,154.6,0,GCA_000002445.1,Discoba
EAN79847.1,-,RPS6_kin_2,PIRSF000606,9.5e-46,155.3,0,1.3e-45,154.9,0,GCA_000002445.1,Discoba
EAN78810.1,-,RPS6_kin_2,PIRSF000606,1.1e-43,148.5,0,1.1e-43,148.5,0,GCA_000002445.1,Discoba
EAN77576.1,-,RPS6_kin_2,PIRSF000606,2.3e-43,147.5,0,1.1e-41,141.9,0,GCA_000002445.1,Discoba
AAZ11554.1,-,RPS6_kin_2,PIRSF000606,6.199999999999999e-43,146,0,8.3e-43,145.6,0,GCA_000002445.1,Discoba
AAZ10353.1,-,RPS6_kin_2,PIRSF000606,1.5e-42,144.8,0,1.9999999999999998e-42,144.4,0,GCA_000002445.1,Discoba
EAN77478.1,-,RPS6_kin_2,PIRSF000606,1.1999999999999999e-41,141.8,4.6,1.7999999999999998e-38,131.3,0.1,GCA_000002445.1,Discoba
AAZ12422.1,-,RPS6_kin_2,PIRSF000606,3.2999999999999997e-41,140.3,0.1,5e-41,139.7,0.1,GCA_000002445.1,Discoba
AAZ11765.1,-,RPS6_kin_2,PIRSF000606,4.9e-41,139.8,0,1.5e-38,131.6,0,GCA_000002445.1,Discoba
AAZ11107.1,-,RPS6_kin_2,PIRSF000606,7.8e-41,139.1,0,1.1e-40,138.6,0,GCA_000002445.1,Discoba
EAN78010.1,-,RPS6_kin_2,PIRSF000606,8.199999999999999e-41,139,0,9e-40,135.6,0,GCA_000002445.1,Discoba
EAN78009.1,-,RPS6_kin_2,PIRSF000606,8.399999999999999e-41,139,0,6.5e-36,122.8,0,GCA_000002445.1,Discoba
AAZ13485.1,-,RPS6_kin_2,PIRSF000606,9e-41,138.9,0,1.3e-40,138.3,0,GCA_000002445.1,Discoba
AAZ13475.1,-,RPS6_kin_2,PIRSF000606,6.6e-40,136,0,9.8e-40,135.5,0,GCA_000002445.1,Discoba
EAN79777.1,-,RPS6_kin_2,PIRSF000606,1.3e-39,135.1,0,9.6e-29,99.1,0,GCA_000002445.1,Discoba
AAZ13359.1,-,RPS6_kin_2,PIRSF000606,1.6e-39,134.7,0,2e-39,134.4,0,GCA_000002445.1,Discoba
AAZ11120.1,-,RPS6_kin_2,PIRSF000606,3.6e-39,133.6,0,4.7999999999999997e-39,133.2,0,GCA_000002445.1,Discoba
EAN78843.1,-,RPS6_kin_2,PIRSF000606,5.999999999999999e-39,132.9,0,9.399999999999999e-39,132.2,0,GCA_000002445.1,Discoba
AAZ13457.1,-,RPS6_kin_2,PIRSF000606,5.099999999999999e-38,129.8,0,7.199999999999999e-38,129.3,0,GCA_000002445.1,Discoba
AAZ12429.1,-,RPS6_kin_2,PIRSF000606,7.399999999999999e-38,129.2,0,8.399999999999999e-38,129.1,0,GCA_000002445.1,Discoba
EAN76280.1,-,RPS6_kin_2,PIRSF000606,1.6e-37,128.1,0.5,2.2e-37,127.7,0.5,GCA_000002445.1,Discoba
EAN77918.1,-,RPS6_kin_2,PIRSF000606,1.8e-37,128,0,8.5e-34,115.8,0,GCA_000002445.1,Discoba
AAZ11395.1,-,RPS6_kin_2,PIRSF000606,5.3e-37,126.4,0,7.8e-37,125.9,0,GCA_000002445.1,Discoba
EAN78582.1,-,RPS6_kin_2,PIRSF000606,1.4999999999999999e-36,124.9,0.4,1.7999999999999998e-35,121.4,0.4,GCA_000002445.1,Discoba
AAQ15669.1,-,RPS6_kin_2,PIRSF000606,2.6999999999999997e-36,124.1,0,3.7e-36,123.6,0,GCA_000002445.1,Discoba
AAZ11126.1,-,RPS6_kin_2,PIRSF000606,5.7e-36,123,0,1.1999999999999999e-35,122,0,GCA_000002445.1,Discoba
EAN78428.1,-,RPS6_kin_2,PIRSF000606,6.6e-36,122.8,0,8.9e-36,122.4,0,GCA_000002445.1,Discoba
EAN76288.1,-,RPS6_kin_2,PIRSF000606,6.4e-35,119.5,0.1,1.5e-34,118.4,0.1,GCA_000002445.1,Discoba
EAN77932.1,-,RPS6_kin_2,PIRSF000606,8.599999999999999e-35,119.1,0.4,6.8e-34,116.1,0.4,GCA_000002445.1,Discoba
AAZ11807.1,-,RPS6_kin_2,PIRSF000606,1.2e-34,118.7,0,1.3e-14,52.4,0,GCA_000002445.1,Discoba
EAN79176.1,-,RPS6_kin_2,PIRSF000606,5.9e-34,116.3,0,4.1e-30,103.7,0,GCA_000002445.1,Discoba
EAN80004.1,-,RPS6_kin_2,PIRSF000606,6.6000000000000005e-34,116.2,0,9.999999999999999e-34,115.6,0,GCA_000002445.1,Discoba
AAZ13337.1,-,RPS6_kin_2,PIRSF000606,1.2e-33,115.4,0,1.4e-32,111.8,0.1,GCA_000002445.1,Discoba
AAZ10106.1,-,RPS6_kin_2,PIRSF000606,1.6e-33,114.9,0,3.0999999999999996e-32,110.7,0,GCA_000002445.1,Discoba
EAN76910.1,-,RPS6_kin_2,PIRSF000606,1.7999999999999998e-33,114.8,0,5.9e-33,113.1,0,GCA_000002445.1,Discoba
EAN78846.1,-,RPS6_kin_2,PIRSF000606,5.3999999999999995e-33,113.2,0,5.6e-31,106.5,0,GCA_000002445.1,Discoba
EAN77631.1,-,RPS6_kin_2,PIRSF000606,6.5e-33,112.9,0,9.999999999999999e-33,112.3,0,GCA_000002445.1,Discoba
EAN79676.1,-,RPS6_kin_2,PIRSF000606,7.899999999999999e-33,112.6,0,2.5e-24,84.5,0,GCA_000002445.1,Discoba
EAN77944.1,-,RPS6_kin_2,PIRSF000606,1.4e-32,111.8,0,4e-22,77.2,0,GCA_000002445.1,Discoba
EAN79097.1,-,RPS6_kin_2,PIRSF000606,3.9999999999999997e-32,110.3,0,1.6e-30,105,0,GCA_000002445.1,Discoba
EAN80624.1,-,RPS6_kin_2,PIRSF000606,4.3999999999999994e-32,110.1,0,6e-32,109.7,0,GCA_000002445.1,Discoba
AAZ10241.1,-,RPS6_kin_2,PIRSF000606,1.2e-31,108.8,0,1.3e-21,75.6,0,GCA_000002445.1,Discoba
EAN79060.1,-,RPS6_kin_2,PIRSF000606,3.0000000000000003e-31,107.4,0,1.7e-17,61.9,0,GCA_000002445.1,Discoba
EAN77537.1,-,RPS6_kin_2,PIRSF000606,1.7e-30,104.9,0,8.500000000000001e-28,96,0,GCA_000002445.1,Discoba
EAN77621.1,-,RPS6_kin_2,PIRSF000606,2.5000000000000002e-30,104.4,0,2.1e-24,84.8,0,GCA_000002445.1,Discoba
