tar,tar_acc,query,hmm_acc,full_e,full_score,full_bias,dom_e,dom_score,dom_bias,acc
XP_001579736.1,-,PH,PF00169.35,2e-20,75.2,0.4,5e-20,73.9,0.1,GCF_026262505.1
XP_001313212.1,-,PH,PF00169.35,1.8e-17,65.7,0.5,5.2e-17,64.2,0.2,GCF_026262505.1
XP_001325115.1,-,PH,PF00169.35,2.2e-17,65.4,0.1,3.4e-17,64.8,0.1,GCF_026262505.1
XP_001308557.1,-,PH,PF00169.35,7.8e-17,63.7,0.0,1.3e-16,62.9,0.0,GCF_026262505.1
XP_001306996.1,-,PH,PF00169.35,1.2e-16,63.1,0.0,2.4e-16,62.1,0.0,GCF_026262505.1
XP_001310870.1,-,PH,PF00169.35,1.5e-15,59.6,0.2,3.5e-15,58.3,0.2,GCF_026262505.1
XP_001329056.1,-,PH,PF00169.35,2.3e-15,58.9,0.0,4.8e-15,57.9,0.0,GCF_026262505.1
XP_001321016.1,-,PH,PF00169.35,2.4e-10,42.8,0.0,5.8e-10,41.6,0.0,GCF_026262505.1
XP_001316333.1,-,PH,PF00169.35,3.4e-10,42.3,0.1,8e-10,41.1,0.1,GCF_026262505.1
XP_001327706.1,-,PH,PF00169.35,4.1e-09,38.8,0.1,9.1e-09,37.7,0.1,GCF_026262505.1
XP_051089107.1,-,PH,PF00169.35,4.4e-09,38.7,1.5,1.1e-08,37.4,1.5,GCF_026262505.1
XP_001301129.1,-,PH,PF00169.35,2e-08,36.6,0.1,3.6e-08,35.8,0.1,GCF_026262505.1
XP_001321160.1,-,PH,PF00169.35,2.2e-08,36.5,0.0,6.4e-08,35.0,0.0,GCF_026262505.1
XP_001327610.1,-,PH,PF00169.35,3.4e-08,35.9,0.0,2.8e-07,33.0,0.0,GCF_026262505.1
XP_001324743.1,-,PH,PF00169.35,1.6e-07,33.7,0.0,4.3e-07,32.3,0.0,GCF_026262505.1
XP_001583654.1,-,PH,PF00169.35,4.1e-07,32.4,0.1,9.7e-07,31.2,0.1,GCF_026262505.1
XP_001321801.1,-,PH,PF00169.35,7e-07,31.7,0.9,2e-06,30.2,0.9,GCF_026262505.1
XP_001302695.1,-,PH,PF00169.35,1.8e-06,30.3,0.0,3.9e-06,29.3,0.0,GCF_026262505.1
XP_001301666.1,-,PH,PF00169.35,5.6e-06,28.8,0.3,4.8e-05,25.8,0.3,GCF_026262505.1
XP_001316350.1,-,PH,PF00169.35,8.2e-06,28.2,0.0,1.9e-05,27.0,0.0,GCF_026262505.1
XP_001314983.1,-,PH,PF00169.35,1.9e-05,27.0,0.2,4.6e-05,25.8,0.2,GCF_026262505.1
XP_001315230.1,-,PH,PF00169.35,9.1e-05,24.9,0.1,0.00021,23.7,0.1,GCF_026262505.1
XP_001319861.1,-,PH,PF00169.35,9.8e-05,24.8,0.2,0.00038,22.9,0.0,GCF_026262505.1
XP_001584133.1,-,PH,PF00169.35,0.00033,23.1,0.0,0.00076,21.9,0.0,GCF_026262505.1
XP_001308206.1,-,PH,PF00169.35,0.00057,22.3,0.0,0.0012,21.3,0.0,GCF_026262505.1
XP_001322995.1,-,PH,PF00169.35,0.0063,19.0,0.2,0.015,17.7,0.2,GCF_026262505.1
XP_001314210.1,-,PH,PF00169.35,0.015,17.8,0.1,0.029,16.8,0.1,GCF_026262505.1
XP_001301207.1,-,PH,PF00169.35,0.18,14.3,0.1,0.38,13.2,0.1,GCF_026262505.1
