tar,tar_acc,query,hmm_acc,full_e,full_score,full_bias,dom_e,dom_score,dom_bias,acc
XP_002370358.1,-,Pkinase,PF00069.31,4.2e-82,274.4,0.0,5.9e-82,273.9,0.0,GCF_000006565.2
XP_018636458.1,-,Pkinase,PF00069.31,3.2e-81,271.5,0.0,4.3e-81,271.0,0.0,GCF_000006565.2
XP_002366770.1,-,Pkinase,PF00069.31,1.3e-80,269.5,0.0,2.3e-80,268.7,0.0,GCF_000006565.2
XP_018637242.1,-,Pkinase,PF00069.31,1.8e-80,269.0,0.0,2.7e-80,268.4,0.0,GCF_000006565.2
XP_018636760.1,-,Pkinase,PF00069.31,2.5e-80,268.5,0.0,3.3e-80,268.2,0.0,GCF_000006565.2
XP_002366169.2,-,Pkinase,PF00069.31,6.4e-79,263.9,0.0,9.9e-79,263.3,0.0,GCF_000006565.2
XP_002366222.1,-,Pkinase,PF00069.31,1.1e-76,256.6,0.0,1.6e-76,256.1,0.0,GCF_000006565.2
XP_018636107.1,-,Pkinase,PF00069.31,1.9e-76,255.8,0.0,2.6e-76,255.4,0.0,GCF_000006565.2
XP_018637931.1,-,Pkinase,PF00069.31,4.8e-76,254.5,0.4,5.8e-66,221.5,0.2,GCF_000006565.2
XP_018635341.1,-,Pkinase,PF00069.31,2.7e-75,252.1,0.0,3.8e-75,251.6,0.0,GCF_000006565.2
XP_002370610.1,-,Pkinase,PF00069.31,5.7e-75,251.0,0.0,6.6e-75,250.8,0.0,GCF_000006565.2
XP_002369174.1,-,Pkinase,PF00069.31,1.7e-74,249.5,0.0,2.1e-74,249.2,0.0,GCF_000006565.2
XP_018635814.1,-,Pkinase,PF00069.31,3.9e-73,245.0,0.0,4.8e-73,244.7,0.0,GCF_000006565.2
XP_002368822.1,-,Pkinase,PF00069.31,5.7e-73,244.4,0.0,7e-73,244.1,0.0,GCF_000006565.2
XP_002370646.2,-,Pkinase,PF00069.31,2.5e-70,235.8,0.0,3.3e-70,235.4,0.0,GCF_000006565.2
XP_018638157.1,-,Pkinase,PF00069.31,1.1e-69,233.6,0.0,1.5e-69,233.2,0.0,GCF_000006565.2
XP_018636940.1,-,Pkinase,PF00069.31,4.6e-69,231.6,0.0,6e-69,231.3,0.0,GCF_000006565.2
XP_018636768.1,-,Pkinase,PF00069.31,8.9e-69,230.7,0.0,1.2e-68,230.3,0.0,GCF_000006565.2
XP_018636795.1,-,Pkinase,PF00069.31,3.2e-68,228.9,0.0,4.2e-68,228.5,0.0,GCF_000006565.2
XP_002369273.1,-,Pkinase,PF00069.31,1.1e-67,227.1,0.0,1.4e-67,226.7,0.0,GCF_000006565.2
XP_018637513.1,-,Pkinase,PF00069.31,1.5e-67,226.7,0.0,1.8e-67,226.4,0.0,GCF_000006565.2
XP_018635298.1,-,Pkinase,PF00069.31,4.3e-67,225.2,0.0,5.9e-67,224.7,0.0,GCF_000006565.2
XP_018638148.1,-,Pkinase,PF00069.31,7.3e-67,224.4,0.0,8.1e-67,224.3,0.0,GCF_000006565.2
XP_002366951.1,-,Pkinase,PF00069.31,5.8e-66,221.5,0.0,6.6e-66,221.3,0.0,GCF_000006565.2
XP_002366266.1,-,Pkinase,PF00069.31,6.6e-66,221.3,0.0,7.7e-66,221.1,0.0,GCF_000006565.2
XP_018637922.1,-,Pkinase,PF00069.31,1.5e-65,220.1,0.0,8.7e-55,184.8,0.0,GCF_000006565.2
XP_002371374.1,-,Pkinase,PF00069.31,4e-65,218.7,0.0,5.3e-65,218.3,0.0,GCF_000006565.2
XP_002369847.2,-,Pkinase,PF00069.31,7.8e-65,217.8,0.0,9.2e-65,217.5,0.0,GCF_000006565.2
XP_002364378.1,-,Pkinase,PF00069.31,9.4e-65,217.5,0.0,1.6e-64,216.7,0.0,GCF_000006565.2
XP_002370410.1,-,Pkinase,PF00069.31,3e-64,215.8,0.0,7.5e-35,119.5,0.1,GCF_000006565.2
XP_018634858.1,-,Pkinase,PF00069.31,4.8e-64,215.2,0.0,5.1e-63,211.8,0.0,GCF_000006565.2
XP_002367583.2,-,Pkinase,PF00069.31,1.9e-63,213.2,0.0,3e-63,212.6,0.0,GCF_000006565.2
XP_018637624.1,-,Pkinase,PF00069.31,2e-63,213.1,0.0,3e-63,212.6,0.0,GCF_000006565.2
XP_002366464.1,-,Pkinase,PF00069.31,2.7e-63,212.7,0.0,4.2e-63,212.1,0.0,GCF_000006565.2
XP_002365025.1,-,Pkinase,PF00069.31,7.6e-63,211.2,0.0,4.8e-61,205.3,0.0,GCF_000006565.2
XP_002370291.1,-,Pkinase,PF00069.31,4e-61,205.6,0.0,5.3e-61,205.2,0.0,GCF_000006565.2
XP_002366682.1,-,Pkinase,PF00069.31,3.5e-60,202.5,0.0,1.3e-49,167.8,0.0,GCF_000006565.2
XP_002365887.1,-,Pkinase,PF00069.31,3.6e-60,202.5,0.0,4.2e-39,133.4,0.0,GCF_000006565.2
XP_002368662.1,-,Pkinase,PF00069.31,2e-59,200.0,0.0,2.4e-59,199.8,0.0,GCF_000006565.2
