tar,tar_acc,query,hmm_acc,full_e,full_score,full_bias,dom_e,dom_score,dom_bias,acc
EAY18750.1,-,PH,PF00169.35,1.7e-20,75.2,0.4,4.1e-20,73.9,0.1,GCA_000002825.3
EAY00283.1,-,PH,PF00169.35,1.5e-17,65.7,0.5,4.3e-17,64.2,0.2,GCA_000002825.3
EAY12892.1,-,PH,PF00169.35,1.8e-17,65.4,0.1,2.8e-17,64.8,0.1,GCA_000002825.3
EAX95627.1,-,PH,PF00169.35,6.4e-17,63.7,0.0,1.1e-16,62.9,0.0,GCA_000002825.3
EAX94066.1,-,PH,PF00169.35,9.6e-17,63.1,0.0,1.9e-16,62.1,0.0,GCA_000002825.3
EAX97940.1,-,PH,PF00169.35,1.2e-15,59.6,0.2,2.9e-15,58.3,0.2,GCA_000002825.3
EAY16833.1,-,PH,PF00169.35,1.9e-15,58.9,0.0,4e-15,57.9,0.0,GCA_000002825.3
EAY08793.1,-,PH,PF00169.35,2e-10,42.8,0.0,4.8e-10,41.6,0.0,GCA_000002825.3
EAY04110.1,-,PH,PF00169.35,2.8e-10,42.3,0.1,6.6e-10,41.1,0.1,GCA_000002825.3
EAY15483.1,-,PH,PF00169.35,3.4e-09,38.8,0.1,7.5e-09,37.7,0.1,GCA_000002825.3
EAX88199.1,-,PH,PF00169.35,1.6e-08,36.6,0.1,3e-08,35.8,0.1,GCA_000002825.3
EAY08937.1,-,PH,PF00169.35,1.8e-08,36.5,0.0,5.3e-08,35.0,0.0,GCA_000002825.3
EAY15387.1,-,PH,PF00169.35,2.8e-08,35.9,0.0,2.3e-07,33.0,0.0,GCA_000002825.3
EAY12520.1,-,PH,PF00169.35,1.3e-07,33.7,0.0,3.5e-07,32.3,0.0,GCA_000002825.3
EAY22668.1,-,PH,PF00169.35,3.4e-07,32.4,0.1,8e-07,31.2,0.1,GCA_000002825.3
EAY09578.1,-,PH,PF00169.35,5.7e-07,31.7,0.9,1.7e-06,30.2,0.9,GCA_000002825.3
EAX89765.1,-,PH,PF00169.35,1.5e-06,30.3,0.0,3.2e-06,29.3,0.0,GCA_000002825.3
EAX88736.1,-,PH,PF00169.35,4.6e-06,28.8,0.3,3.9e-05,25.8,0.3,GCA_000002825.3
EAY04127.1,-,PH,PF00169.35,6.8e-06,28.2,0.0,1.6e-05,27.0,0.0,GCA_000002825.3
EAY02760.1,-,PH,PF00169.35,1.6e-05,27.0,0.2,3.8e-05,25.8,0.2,GCA_000002825.3
EAY03007.1,-,PH,PF00169.35,7.5e-05,24.9,0.1,0.00017,23.7,0.1,GCA_000002825.3
EAY07638.1,-,PH,PF00169.35,8.1e-05,24.8,0.2,0.00031,22.9,0.0,GCA_000002825.3
EAY23147.1,-,PH,PF00169.35,0.00027,23.1,0.0,0.00063,21.9,0.0,GCA_000002825.3
EAX95276.1,-,PH,PF00169.35,0.00047,22.3,0.0,0.00099,21.3,0.0,GCA_000002825.3
EAY10772.1,-,PH,PF00169.35,0.0052,19.0,0.2,0.013,17.7,0.2,GCA_000002825.3
